"en_es_DEEP"	"MatConf"
"b) si comete dicho acto durante el estado de emergencia nacional o el estado de guerra."	1
"CZ Çagllavicë/Caglavica (como se indica en el mapa III A)"	0
"Si bien el número de campos de prisioneros políticos y de reclusos ha disminuido debido a las muertes y algunas liberaciones, se estima que actualmente hay entre 80.000 y 120.000 prisioneros políticos detenidos en cuatro grandes campos de prisioneros políticos."	1
"Parecería que la tarea de hacer frente al LRA se está dejando en gran medida a los gobiernos de la región."	0
"58. Me preocupé mucho cuando, poco después de la retirada de las tropas, los activos militares y el aparato de inteligencia sirios, la República Árabe Siria cerró su frontera con el Líbano a los camioneros libaneses."	1
"19. Decide seguir ocupándose del asunto."	0
"La entrega de la fase I está prácticamente concluida."	0
"En esa reunión las partes acordaron una mayor cooperación en los temas de la inspección ferroviaria y el regreso de los refugiados y desplazados internos."	0
"La Fuerza sigue mejorando sus capacidades de control de multitudes y disturbios a fin de estar mejor preparada para contrarrestar cualquier resurgimiento de la violencia."	1
"En el contexto de la posible imposición de sanciones por violación y otros actos de violencia sexual, el Consejo ha pedido a las misiones y órganos pertinentes de las Naciones Unidas que compartan toda la información pertinente con los comités de sanciones pertinentes del Consejo de Seguridad."	1
"VI. MEDIDAS QUE PROPONE LA ORGANIZACIÓN DE LAS NACIONES UNIDAS"	0
"Aunque imprevistos, esos cambios demuestran una vieja regla de la política: el fracaso en las reformas conduce a la revolución."	0
"Los envíos de armas pequeñas a zonas de conflicto desde el extranjero suelen ser envíos de pequeña escala: un goteo constante de armas a través de fronteras porosas."	1
"Esto incluye a aquellos identificados como fundamentales para el adoctrinamiento y reclutamiento de terroristas suicidas."	1
"El informe de tipologías del GAFI sobre lavado de dinero y financiación del terrorismo a través del sector inmobiliario (2008) sugiere posibles vínculos del sector inmobiliario con la financiación del terrorismo."	0
"Además de examinar la Lista, el Equipo examina la implementación de las tres medidas de sanciones: la congelación de activos, la prohibición de viajar y el embargo de armas."	1
"90. También el 8 de mayo de 2006, el Ministro del Interior Lobato ordenó al comandante de la UPF, Antonio da Cruz, que entregara 15 fusiles de asalto semiautomáticos HK33 en su residencia. Estas armas se encontraban entre las 180 armas de fuego HK33 distribuidas legalmente a la UPF."	1
"Al-Shabaab está demostrando una mayor capacidad para lanzar ataques terroristas complejos, incluso en toda la región, como lo ilustró recientemente el ataque al centro comercial Westgate Mall ocurrido en septiembre de 2013 en Nairobi."	1
"La situación en Timor Oriental (véanse S/11593/Add.50 y 51; S/11935/Add.15 y 16; S/1999/25/Add.17, 22, 25, 30, 33 a 36, ​​42 y 50 ; S/2000/40/Add.4, 11, 16, 20, 25, 29, 30, 34, 35, 37, 38, 40, 46, 47 y 48; 5)"	0
"6. Confirma que los requisitos del párrafo 1 (a) anterior se aplican a los recursos financieros y económicos de todo tipo, incluidos, entre otros, los utilizados para la prestación de alojamiento de Internet o servicios relacionados, utilizados para apoyar a los talibanes incluidos en esta Lista. , y otras personas, grupos, empresas y entidades asociadas con ellos, así como otras personas, grupos, empresas y entidades asociadas con los talibanes por constituir una amenaza a la paz, la estabilidad y la seguridad de Afganistán y otras personas, grupos, empresas o entidades asociadas a ellos;"	1
"8. Más de seis años después de la aprobación de la resolución 1624 (2005), el riesgo y la amenaza de incitación a cometer actos de terrorismo siguen siendo graves en la mayor parte del mundo. Sin embargo, existen diferencias en el nivel de riesgo y amenaza, incluso entre Estados de la misma región o subregión."	1
"Se produjo un enfrentamiento que provocó que la policía acudiera al lugar y se lanzaran gases lacrimógenos."	1
"Actos de tortura perpetrados por la población civil"	1
"e) Permitir el establecimiento de periódicos y otros medios de comunicación independientes; permitir a los ciudadanos acceder libremente a Internet, las redes sociales, las comunicaciones internacionales, las emisiones y publicaciones extranjeras, incluida la cultura popular de otros países; y abolir la participación obligatoria en organizaciones de masas y sesiones de adoctrinamiento;"	0
"Algunos informes también indican que extranjeros, procedentes del Chad, la Jamahiriya Árabe Libia y otros Estados, respondieron al llamamiento y que el Gobierno estaba más que dispuesto a reclutarlos."	1
"2. La actual fase de 180 días (fase IX) entró en vigor el 6 de diciembre de 2000."	0
"Que se celebrará el martes 24 de diciembre de 2002, a las 11.40 horas"	0
"7. Mahmoud Khalid alRiz, 4 años"	0
"17. A lo largo de 2007 se registraron en el Afganistán más de 8.000 muertes en incidentes en los que participaron insurgentes (A/62/722-S/2008/159, párr. 17), frente a 6.000 muertos en todo tipo de violencia en 2006."	1
"Tráfico de drogas y crimen organizado transnacional"	1
"El Gobierno de la República de Macedonia, en su reunión del 19 de abril de 2011, adoptó una decisión para hacer cumplir las restricciones contenidas en la resolución antes mencionada."	1
"12. En estrecha cooperación con el Comité establecido en virtud de las resoluciones 1267 (1999) y 1540 (2004) y de conformidad con su mandato, el Comité prestará especial atención a los Estados respecto de los cuales falta información sobre la aplicación de la resolución 1373 (2001) y discutir la mejor manera de abordar el problema."	0
"Afirmó que el EIIL estaba cometiendo abusos en Irak de \"tal escala y gravedad que con toda probabilidad calificaban como crímenes internacionales, sujetos a la jurisdicción de la Corte Penal Internacional\"."	1
"77. Todas las pruebas disponibles sugieren que los tiroteos iniciales de la mañana del 25 de marzo que provocaron la explosión fueron el resultado de una acción coordinada de las fuerzas de seguridad que tuvo como resultado la muerte de más de 100 civiles."	1
"1. SEGUNDA ACADEMIA DE CIENCIAS NATURALES"	0
"Se celebrará el miércoles 15 de mayo de 2013, a las 11.30 horas."	0
"5. Así como Al-Qaida seguirá siendo una amenaza residual durante algún tiempo en el Afganistán, también seguirá teniendo algún impacto en el resto del mundo."	1
"Estaban armados y todos nos apuntaban con sus armas."	1
"En la misma resolución, el Consejo también introdujo determinadas exenciones a las medidas específicas. El 5 de diciembre de 2011, el Consejo de Seguridad adoptó la resolución 2023 (2011), por la que ampliaba las medidas restrictivas relativas a Eritrea en los ámbitos de los \"impuestos a la diáspora\", el sector minero de Eritrea y los servicios financieros."	0
"49. Durante el período de hambruna, se utilizó el adoctrinamiento ideológico para mantener el régimen, a costa de agravar gravemente el hambre y la inanición."	1
"- El Reglamento Gran Ducal de 5 de octubre de 2000 regula la exportación y el tránsito de bienes y tecnologías de doble uso."	0
"Reclamación ajustada por acumulación de existencias y obsolescencia."	0
"El potencial de ataques internacionales por parte de AQAP persiste, pero por ahora el impacto de las actividades de AQAP se siente principalmente en Yemen."	1
"Aunque también ha habido ataques por parte de fuerzas rebeldes, la Comisión no ha encontrado pruebas de que sean generalizados o de que hayan estado dirigidos sistemáticamente contra la población civil."	1
"No estaba estacionado completamente en línea a juzgar por cómo actuó la fuerza de la explosión sobre el vehículo Ford rojo, que probablemente estaba estacionado directamente frente al Mitsubishi."	1
"El único fallo restante se dictará antes de finales de 2012 y ya han concluido los procedimientos de apelación respecto de 44 personas."	0
"El régimen abjasio no ha escatimado esfuerzos destinados a legalizar la situación demográfica modificada por la fuerza como consecuencia de la limpieza étnica y a crear condiciones de vida insoportables para los georgianos que regresan al distrito de Gali."	1
"154. Khaled Ahmad Mubarak Al-Sharhan"	0
"El coronel Reis y su adjunto protestaron ante el general de brigada Ruak, quien se disculpó por el tiroteo."	1
"f) El país o los países anfitriones, en calidad de observadores, según corresponda;"	0
"4. Como se refleja en las actas literales provisionales de la 4688ª sesión del Consejo de Seguridad, celebrada el 20 de enero de 2003 (S/PV.4688), los miembros del Consejo formularon comentarios, sugerencias y propuestas en las siguientes esferas: instrumentos internacionales; cooperación internacional; papel de las organizaciones internacionales, regionales y subregionales; asistencia; y el Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) (en adelante denominado el Comité contra el Terrorismo)."	0
"Se celebrará el martes 28 de octubre de 2003, a las 15.15 horas."	0
"S/AC.29/2004/(03)/13"	0
"El personal penitenciario y las fuerzas de seguridad de Puntlandia lucharon valientemente contra los atacantes y pudieron evitar que la prisión fuera tomada y la posible fuga de agentes de Al-Shabaab, entre ellos un experto en artefactos explosivos improvisados ​​y un coordinador de bombas suicidas, los piratas encarcelados y otras personas."	1
"En Jelisić, la Sala de Apelaciones señaló que \"en cuanto a la prueba de una intención específica, ésta puede, a falta de pruebas explícitas directas, inferirse de una serie de hechos y circunstancias, como el contexto general, la perpetración sistemática de otros actos culpables dirigidos contra el mismo grupo, la escala de las atrocidades cometidas, el ataque sistemático a las víctimas por su pertenencia a un grupo particular, o la repetición de actos destructivos y discriminatorios\"."	1
"La Comisión también recibió informes creíbles sobre el asesinato de otro policía a manos de la multitud en la misma zona."	1
"Observando que no todos los Estados son partes en el Estatuto de Roma,"	0
"Se declara abierta la sesión a las 16.15 horas."	0
"La Comisión encontró pruebas que indicaban que las tribus árabes habían comenzado a establecerse en zonas anteriormente habitadas por los desplazados, impidiendo así aún más el eventual regreso de los desplazados."	1
"Debido a una combinación de factores, incluida la discriminación basada en el género en el acceso a los recursos, la educación y el empleo, la mala atención de la salud reproductiva y la exclusión de los procesos de toma de decisiones, las mujeres refugiadas y desplazadas internas constituyen uno de los grupos más vulnerables del mundo."	1
"\"El Consejo de Seguridad toma nota con interés de la importante propuesta del Secretario General de establecer una Comisión de Consolidación de la Paz y comparte el objetivo de mejorar la capacidad de las Naciones Unidas para coordinarse con los donantes y los países que aportan contingentes y realizar actividades de consolidación de la paz, en particular desde el comienzo de operaciones de mantenimiento de la paz mediante la estabilización, la reconstrucción y el desarrollo."	0
"A pesar de que más del 80% de la población afgana depende directamente de la agricultura para su sustento, sólo se ha desviado una cantidad muy modesta de dinero a ese sector de la economía."	0
"Como se indicó anteriormente, el sistema judicial sudanés ha demostrado ser incapaz de garantizar la rendición de cuentas por los crímenes cometidos en Darfur y las autoridades no están dispuestas a hacerlo."	1
"El exitoso procesamiento de los presuntos piratas y el encarcelamiento de los condenados enviaron un fuerte mensaje a los perpetradores y sus partidarios de que no se permitiría la impunidad."	1
"En algunos casos, las mujeres fueron supuestamente violadas en público y, en algunos incidentes, las mujeres fueron reprendidas y llamadas \"esclavas\" o Torabora."	1
"La reunión fue en gran medida una sesión de preguntas y respuestas, y la troika respondió a las intervenciones de los miembros del Grupo de Trabajo."	0
"Algunos informes han dado a entender, y unos pocos han determinado, que los elementos del crimen de genocidio están presentes en las pautas y la naturaleza de las violaciones cometidas por el Gobierno y sus milicias."	1
"Si bien los dirigentes de Al-Qaida, limitados por la acción internacional, tal vez no puedan traducir su apoyo en violencia coordinada bajo su control, siguen atrayendo seguidores, algunos de los cuales están decididos a cometer actos terroristas en su nombre, sin necesidad de ver a sus acciones como parte de un programa político más amplio."	1
"Oficialmente, la FACI los describe como aviones de \"reconocimiento\", aunque el Grupo observó que a uno de ellos se le habían añadido puntos reforzados bajo las alas, que fueron adaptados para intentar transportar municiones no especificadas por la OTAN para acciones militares."	1
"59. Exposición informativa del Sr. Carl Bildt, Enviado Especial del Secretario General para los Balcanes (véanse S/2000/40/Add.8 y 24)."	0
"Said Arif está asociado con Al-Qaida o cualquier célula, afiliado, grupo escindido o derivado del mismo por \"participar en la financiación, planificación, facilitación, preparación o perpetración de actos o actividades por, junto con, en nombre de, en en nombre o en apoyo de\" y \"reclutamiento para\" Jabhet al-Nusra, también conocido como el Frente Al-Nusrah para el Pueblo del Levante (QE.A.137.14)."	1
"A juicio de este Estado, esa actividad, en su forma más extrema, a menudo conduce al extremismo violento y a la pérdida de vidas."	1
"El Ministro afirmó que una vez que el Gobierno recibe información de que hay rebeldes en una determinada aldea, \"ya no es una localidad civil, sino que se convierte en un objetivo militar\"."	1
"En total, 43 de los 51 casos fueron presentados por particulares, dos por un particular junto con una o más entidades y seis por entidades solas. En 25 de los 51 casos, el peticionario es o fue asistido por un abogado."	0
"f) Adoptar medidas inmediatas para impedir que agentes de la República Popular Democrática de Corea lleven a cabo nuevos secuestros desde territorio chino; procesar y castigar adecuadamente a los autores de secuestros aprehendidos y exigir la extradición de quienes dieron esas órdenes para que puedan ser juzgados conforme a la ley."	1
"69. Estos nuevos \"reclutas\" se convertirían en lo que la población civil y otros denominarían \"Janjaweed\", término tradicional de Darfur que designa a un bandido armado o proscrito a caballo o en camello."	1
"Rogerio Lobato fue considerado para el puesto de Secretario de Estado de Defensa, pero se le negó, después de que el general Taur Matan Ruak amenazara con abandonar las fuerzas de defensa. Se nombró a Roque Rodrigues."	0
"347. Las conclusiones de la Comisión confirmaron que se siguen perpetrando violaciones y violencia sexual contra mujeres y niñas durante la huida y en las zonas de desplazamiento."	1
"45. Después de la llegada de tropas leales al Presidente Yusuf y su despliegue justo al sur de Jawhar, a principios de septiembre se informó que el Ministro de Comercio, Muse Sudi Yallahow, había enviado varios \"técnicos\" para fortalecer sus fuerzas en Balad, al sur de Jawhar."	1
"Por último, gran parte de la información fuente pertinente a la suerte del Sr. Abu Adass apunta a la República Árabe Siria y a funcionarios sirios, así como a ciertos funcionarios libaneses. Si bien es cierto que poca de la información de esta fuente ha sido corroborada de forma independiente, es significativo que ninguna información indique que ninguna otra entidad esté involucrada en su desaparición o que fuera un terrorista suicida."	1
"Como se informó anteriormente, se espera que la destrucción de las 12 IPAQ concluya a finales de junio de 2015, con la posibilidad de un ligero retraso."	1
"b) El malestar social vinculado a cuestiones de larga data de exclusión ha contribuido a un patrón constante de protestas y al surgimiento de grupos políticos y armados en las llanuras meridionales de Terai que han creado nuevos riesgos para los niños, incluidos desplazamientos, asesinatos y reclutamiento;"	1
"La lucha contra la impunidad también es de gran importancia para la prevención de la violencia sexual."	0
"o El 16 de noviembre de 2014, aviones de combate del régimen atacaron la ciudad de Maarat Misreen con un misil, matando a cinco personas, entre ellas un niño y una mujer, además de destruir edificios residenciales."	1
"Apoyo de las Naciones Unidas a los esfuerzos de mediación"	0
"Esto dio peso a la idea largamente acariciada de crear un Estado Hima."	0
"Todos los Estados han tipificado como delito en su derecho interno la provisión de refugio seguro a los terroristas y sus partidarios y el uso de sus territorios para cometer o preparar actos terroristas contra otros Estados o sus ciudadanos."	1
"República Árabe Siria - Ministerio de Turismo"	0
"Al cabo de media hora llegaron otros tres jeeps procedentes de Chad apoyados por un helicóptero militar y se produjo de nuevo un enfrentamiento con la unidad militar sudanesa en el que resultaron heridos un soldado y varios civiles."	1
"Por lo tanto, el papel del Consejo a la hora de proporcionar compensación a las víctimas de violaciones del derecho internacional puede ser viable y eficaz."	0
"Organigrama que muestra los vínculos relacionados con Chong Chon Gang"	0
"Cuatro Estados han introducido medidas jurídicas adecuadas para tipificar como delito la prestación de refugio seguro; cuatro lo han hecho parcialmente; y dos no han proporcionado la información relevante."	0
"La misión entregó suministros médicos esenciales a una clínica gestionada por una organización no gubernamental en la ciudad de Um Dukhun."	0
"Está claro, sin embargo, que los efectos no se limitarán sólo a Yugoslavia."	0
"El memorando de la Secretaría General y"	0
"Esta disposición está claramente prevista en la Sección 9 de la Ley del Tratado de Nepal."	0
"Una aerolínea regional es una aerolínea con base dentro o cerca de Oriente Medio."	0
"b) Los extranjeros que no estén incluidos en estos dos grupos."	0
"34. La refinería de Daura está situada en las afueras de Bagdad."	0
"Este fue el caso de Jamal Suliman Mohamad Shayeb en la aldea de Halouf en relación con el asesinato de 24 personas, algunas de ellas mujeres y niños, el saqueo de propiedades y el incendio de la aldea."	1
"40. Unos 8.490 excombatientes han recibido apoyo para la reintegración del PNUD y sus asociados en la ejecución en el norte del Sudán."	0
"A menudo los civiles fueron desplazados por la fuerza como resultado del ataque."	1
"21. A mediados de noviembre se produjo una escalada del enfrentamiento armado entre las fuerzas de seguridad serbias y el autodenominado Ejército de Liberación de Presevo, Medveda y Bujanovac (UCPMB) en la zona de seguridad terrestre."	1
"Armas de fuego caseras. Cócteles molotov. Cohetes improvisados ​​fabricados en talleres metalúrgicos."	1
"Dirección: Campamento de refugiados de Jabalya, cerca de la escuela Al-Fakhoura"	0
"27. El RPA continuó bombardeando y realizando ataques inútiles contra estas posiciones de las UPDF y destruyó la central eléctrica del río Tshopo desde bases tácticas que habían establecido en medio de áreas civiles edificadas."	1
"Las medidas adoptadas hasta ahora por el Gobierno para hacer frente a la crisis han sido manifiestamente inadecuadas e ineficaces, lo que ha contribuido al clima de impunidad casi total por las violaciones de derechos humanos en Darfur."	1
"Esta es una fuente de profunda angustia para Etiopía y para nuestro pueblo."	0
"Otros miembros tomaron nota de la iniciativa del Gobierno del Sudán de investigar las denuncias a través de su mecanismo nacional y pidieron que se resolvieran los conflictos mediante negociaciones bajo los auspicios del Grupo de Alto Nivel de la Unión Africana sobre la Aplicación de la Ley para el Sudán, dirigido por el ex Presidente de Sudáfrica, Thabo Mbeki, y el enviado especial del secretario general para Sudán y Sudán del Sur, Haile Menkerios."	0
"La vida económica y social del país está en ruinas. Costa de Marfil avanza lentamente."	0
"a) Las necesidades especiales de las mujeres y las niñas durante la repatriación y el reasentamiento y para la rehabilitación, la reintegración y la reconstrucción después de los conflictos;"	0
"8. Principalmente en el este de Libia, los continuos esfuerzos de Ansar al-Shariaa (que no figura en la lista ni es idéntico a la filial Ansar al-Shari'a de AQAP) son motivo de preocupación. Existen contactos operativos entre Ansar al-Shariaa y afiliados de Al-Qaida en el Sahel, el Magreb, el Oriente Medio y el Asia meridional. Muchos combatientes extranjeros han estado viajando a campos de entrenamiento en Libia antes de dirigirse a otros lugares para luchar."	1
"Se cerraron las escuelas que se negaron a registrarse o que tenían vínculos con organizaciones terroristas proscritas."	0
"Los intentos infructuosos de Aiman ​​Muhammad Rabi al-Zawahiri de mediar en los conflictos internos entre Al-Qaida y Jabhat al-Nusra (una filial de Al-Qaida en el Iraq), así como las persistentes luchas internas dentro de Al-Shabaab, señalan los límites de Al- La autoridad de Zawahiri."	1
"103. Es evidente que los terroristas utilizarán las armas más fiables y eficaces que puedan obtener."	1
"9. Decide seguir ocupándose del asunto."	0
"1. Ley de secretos oficiales de 1923 2."	0
"4. Exhorta a los grupos armados de oposición sirios y a los elementos pertinentes a que respeten las disposiciones pertinentes del Entendimiento Preliminar;"	0
"Como Al-Qaida y sus asociados utilizarán cualquier tipo de explosivo disponible para realizar ataques, el Equipo recomienda que el Comité aliente a los Estados Miembros a aplicar la expresión \"armas y material conexo de todo tipo\" en el marco del embargo de armas contra Al-Qaida a todos tipos de explosivos, ya sean militares, civiles o improvisados, sino también a las materias primas y componentes que pueden utilizarse para fabricar artefactos explosivos improvisados ​​o armas no convencionales, incluidos, entre otros, componentes químicos, cordones detonantes, fertilizantes y venenos."	1
"El Consejo de Seguridad expresa sus condolencias a las familias de las fuerzas de paz que murieron en combate mientras protegían a la población del este de la República Democrática del Congo."	1
"Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,"	0
"Asistencia existente (bilateral/plurilateral/multilateral)"	0
"A pesar de esos esfuerzos, todavía existen preocupaciones sobre la seguridad en Mogadiscio, con la presencia de varias milicias faccionales, así como de aquellas que son independientes o asociadas con empresarios y los tribunales de la sharia."	1
"IV. Comité sobre Personas Desaparecidas en Chipre"	0
"13. Esta situación complicó los esfuerzos por lograr la paz y la reconciliación."	1
"Varios periodistas nacionales e internacionales han sido arrestados (y liberados con bastante rapidez debido a la presión extranjera) y amenazados en el ejercicio de su profesión por las fuerzas de seguridad marfileñas."	1
"En Kosti, más de 10.000 personas han pasado por el centro de tránsito desde enero de 2010, en movimientos espontáneos hacia sus lugares de residencia anterior, ubicados principalmente en los estados de Abyei, Alto Nilo, Kordofán del Sur, Warrap y Bahr El Ghazal del Norte."	0
"1. Los afiliados a Al-Qaida ganaron terreno en el norte de Malí en 2012, lo que desató una crisis política y una intervención internacional."	1
"El artículo 55 de la Ley Bancaria de 2004 con respecto a la identidad de los clientes establece lo siguiente: -"	0
"8. Khorasan Metallurgy Industries (filial de Ammunition Industries Group (AMIG) que depende de DIO."	0
"Otras pérdidas - US$ 14.359.998 Pérdida de expedientes estudiantiles - US$ 14.359.998"	0
"117. Los actos de terrorismo y la incitación son manifestaciones complejas del comportamiento delictivo."	1
"Periódico Al-Yawm al-Sabi`, periodista Rami al-Maliji - 10 de diciembre de 2011"	0
"Sobre la base de las conclusiones de la Comisión y de las investigaciones libanesas hasta la fecha y de las pruebas materiales y documentales recopiladas y de las pistas seguidas hasta ahora, hay pruebas convergentes que apuntan a la participación tanto del Líbano como de Siria en este acto terrorista."	1
"Muchas personas fueron sometidas al trato más horrible y muchas fueron ejecutadas sumariamente."	1
"III. Congelación de activos financieros y económicos"	0
"Estas cifras no tienen en cuenta la probable participación de grupos o individuos incluidos en la lista en ataques cuya responsabilidad reivindicaron grupos no incluidos en ella, por ejemplo Tehrik-e-Taliban en Pakistán o Al-Shabaab en Somalia."	1
"Profundamente preocupada por el número cada vez mayor de víctimas, incluidos niños, causado por actos de terrorismo motivados por la intolerancia o el extremismo en diversas regiones del mundo,"	1
"La conversación duró de 5 a 10 minutos, durante los cuales continuó el tiroteo."	1
"Cuatro Estados han penalizado adecuadamente la financiación del terrorismo, mientras que tres no lo han hecho en absoluto."	0
"a) Solicitar a la UA que mantenga tropas de la AMISOM en Somalia después de la partida de las fuerzas etíopes y ofrecer la asistencia que se indica a continuación para apoyar el refuerzo de la Misión;"	0
"6. La aplicación de medidas de autoprotección, incluido el despliegue de personal de seguridad armado contratado de forma privada a bordo de buques y destacamentos de protección de buques, junto con una mayor conciencia situacional, entrenamiento y maniobras evasivas y el uso de canales marítimos seguros por parte de buques comerciales, también puede tener disuadió a los piratas de atacar barcos."	0
":: 2 de junio de 2005, el periodista Samir Kassir muere al explotar su automóvil en el este de Beirut."	1
"Sin embargo, el potencial restante del MRC para socavar los avances tangibles en la estabilización de Ituri sigue siendo preocupante, en particular dada la incapacidad hasta ahora del Gobierno de Transición para llevar a los líderes de los grupos armados ante la justicia y evitar su entrada y salida de Uganda."	1
"[P]ide también al Secretario General que incluya en los anexos de sus informes sobre los niños y los conflictos armados a aquellas partes en conflictos armados que, en contravención del derecho internacional aplicable, cometen patrones de matanza y mutilación de niños y/o violaciones y otros tipos de violencia sexual contra niños, en situaciones de conflicto armado, teniendo en cuenta todas las demás violaciones y abusos contra niños, y observa que el presente párrafo se aplicará a situaciones de conformidad con las condiciones establecidas en el párrafo 16 de su resolución 1379 (2001). ;"	1
"Esto limitó la eficacia de la iniciativa para brindar justicia integral a las víctimas."	0
"77. El fin de la transición en Somalia ha abierto un nuevo capítulo para su pueblo, lleno de expectativas, optimismo y esperanza."	0
"Según los informes, un miembro de las fuerzas paralelas, vestido con una camiseta blanca y acompañado por tres agentes de policía, disparó contra los manifestantes que huían."	1
"No hubo indicios de que la producción de materia prima para el enriquecimiento por centrifugación (UF6) fuera más allá del nivel de laboratorio;"	0
"Las cifras no son seguras, pero la evidencia ante la Comisión sugiere que hasta nueve personas murieron y tres sufrieron heridas de arma de fuego como resultado de esta violencia."	1
"El artículo 75 del Estatuto establece que la Corte puede dictar una orden directamente contra una persona condenada especificando reparaciones apropiadas para las víctimas o respecto de ellas, incluidas la restitución, la indemnización y la rehabilitación."	1
"Los miembros de esta delegación acordaron con el Primer Ministro \"iniciar la organización de la presencia armada palestina en los campos para garantizar la seguridad\"."	0
"Se espera que el debate sobre la cuestión en la Asamblea General proporcione un importante impulso adicional al establecimiento de un sistema mundial eficaz para contrarrestar nuevas amenazas y desafíos, en interés de todos los miembros de la comunidad internacional."	0
