"es_en_TRANSOFMERS"	"MatCoop"
"Condemning also in the strongest terms the incitement to commit terrorist acts and repudiating attempts to justify or glorify (apology) terrorist acts that may incite the commission of new terrorist acts,"	0
"The Russian Federation reported that it had taken measures to protect ships and port facilities from terrorist attacks, in accordance with the rules of the International Ship Security Code and port facilities relating to training, reporting and signalling in emergency situations."	1
"Noting with concern that terrorism continues to constitute a serious threat to international peace and security, the enjoyment of human rights and the social and economic development of all Member States, in addition to undermining global stability and prosperity, and that this threat has become more widespread, with an increase in terrorist acts in various regions of the world, including those motivated by intolerance or extremism, expressing its determination to combat this threat, and stressing the need for the fight against terrorism to remain a priority on the international agenda,"	0
"However, in order to continue the comprehensive mine action programme, additional donor funds have been requested for 2008."	1
"The first case referred by the Security Council under the Rome Statute (resolution 1593 (2005)), which resulted in the issuance of arrest warrants for two suspects, was the result of the recommendation for referral by the International Commission of Inquiry for Darfur to the Security Council."	1
"2. The situation in the Middle East"	0
"The Chairman of the Group, JosÃ© Ramos-Horta, led the discussions on behalf of the Group and reported that during the first phase of its work the Group of Experts would focus on hearing the views of all Member States as collective contributors to peace and security, and consultations would also include the General Assembly Committees, regional organizations and troop- and police-contributing countries."	0
"Often, only victims represented by lawyers obtain a satisfactory amount of compensation."	1
"Work has also continued to develop an interim legal framework, which would define considerable autonomy and establish the basis for elections at the central level."	1
"Our policy of proactive initiatives aims in the long term to remove Abkhazian society from isolation, expose it to democratic values and beliefs and recognize the fundamental human rights of internally displaced persons and refugees, first and foremost the right to return home, regardless of ethnic origin, in order to create a climate of mutual trust and respect."	1
"The first consultative meeting on ending the transition in Somalia was held in Mogadishu from 4 to 6 September 2011."	0
"The Committee will continue to organize special meetings and events on issues of concern and common interest to Member States, with a view to maximizing the impact of the resolutions and maintaining the commitment of the international community to combating terrorism."	1
"Programmes on alternative livelihoods for the community, market access, road construction and maritime infrastructure that promote fisheries and trade through development assistance will make the achievements of the fight against piracy more sustainable."	1
"I reiterate that United Nations personnel should never be threatened or penalized for carrying out their work, which is based on the Charter of the United Nations and, in this case, has been mandated by the Security Council."	0
"4. Decides that the mandate of UNMIS shall be as follows:"	0
"Minister Counsellor Fayssal Mekdad (Syrian Arab Republic)"	0
"The various factions of Jantantrik Terai Mukti Morcha, the Madhesi Liberation Tigers (Madhesi Mukti) and other armed groups have been involved in abductions, assassinations and acts of extortion and intimidation."	0
"Replies received pursuant to paragraph 20 of resolution 1596 (2005)"	0
"âThe Security Council welcomes the establishment of the Technical Team of the African Union Border Programme to determine conclusively the field-based central line of the Safe Demilitarized Border Zone, and reiterates that the central line does not in any way affect the current or future legal status of the border, ongoing negotiations with respect to disputed or claimed areas, or the demarcation of the border."	0
":: Systematic coordination between the civilian and military components of the mission and between the mission and humanitarian actors is maintained in order to consolidate the knowledge gained in the protection of the civilian population."	1
"All but one States, for which information is not available, have established strategies and institutional structures to combat terrorism, and there is full or partial coordination between law enforcement agencies dealing with counter-terrorism."	1
"The Commission has been able to establish a detailed and precise account of the events of April and May which resulted in a considerable number of deaths and injuries and extensive material damage."	1
"During the reporting period, the Government of Chad and UNHCR continued to implement programmes to sensitize refugees and displaced persons about the civilian character of the camps; on 12 September, DIS detained 11 persons who had allegedly attempted to recruit refugees for an armed group in the Goz Amer refugee camp near Goz Beida (Dar Sila region) during the past months."	1
"The Executive Directorate will continue to enhance its cooperation with relevant United Nations bodies, including the Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004) and the group of experts assisting the Security Council Committee established pursuant to resolution 1540 (2004), as well as with various international, regional and subregional organizations, especially within the framework of the Committee's visits to States."	1
"From 14 to 18 October, UNOWA and UNOCA participated in a workshop organized by the Lake Chad Basin Commission in YaoundÃ©, with a view to developing a regional counter-terrorism strategy and discussing the establishment of the joint multinational task force."	1
"A special programme for voters with special needs was established to enable certain categories, such as those who remained in their homes for fear, to register and vote simultaneously in hospital, the mentally ill, the elderly and prisoners."	1
"Conducted by the Executive Directorate on behalf of the Committee, the visits provide an opportunity to discuss, inter alia, trends and challenges related to terrorism, initiatives, strengths, weaknesses and technical assistance needs of States in the fight against terrorism and good practices in the implementation of the two resolutions."	0
"The Council urges MONUSCO, BINUCA, UNMISS and other United Nations actors present in the LRA-affected region to continue to work with regional forces and non-governmental organizations to promote desertions and support disarmament, demobilization, reintegration, repatriation and resettlement efforts in the Army-affected area."	0
"19. Emphasizes in this regard the importance for Member States to devise non-violent alternative means for the prevention and resolution of conflicts by affected individuals and local communities in order to reduce the risk of radicalization by resorting to terrorism, and to promote peaceful alternatives to the violent rhetoric to which foreign terrorist fighters adhere, and stresses the role that education can play in countering terrorist rhetoric;"	1
"(k) To establish such guidelines as may be necessary to facilitate the implementation of the measures set out above;"	1
"The Daura Refinery is located in the vicinity of Baghdad."	0
"All States have adopted legislation to prevent and suppress the movement of terrorists across borders and four States take concrete steps to prosecute those who violate these norms."	1
"2. Also decides to remain seized of the matter."	0
"The proximity of the border with Pakistan provides these forces with manpower, material and shelter."	0
"The Commission's investigation based on the Abu Adass track focused on trying to ascertain the whereabouts of Mr. Abu Adass and assessing the possibility that he was actually the terrorist he was supposed to be."	1
"Tunisia and the Libyan Arab Jamahiriya expanded, in 2009 and 2010 respectively, their obligations of customer due diligence, record-keeping and reporting of suspicious transactions to businesses and professions other than the financial sector, thus broadening the scope of their obligations in the area of countering money-laundering and the financing of terrorism."	1
"INTERPOL is also in the process of establishing the INTERPOL electronic weapons tracking system to assist national law enforcement agencies in tracing illicit movements and uses of firearms."	1
"UNMIT and the United Nations country team are providing coordinated support in all aspects of the implementation of the Act, in particular to the State Secretariat for the Promotion of Equality, which leads the development of an implementation plan, and to civil society to raise awareness of legislation."	1
"Acting under Chapter VII of the Charter of the United Nations,"	0
":: Report to the 1540 Committee after each meeting"	1
"A second battalion would be deployed in the southern town of Kamina to protect the airfield; provide a secure environment for the electoral process in its area of operations; monitor the southern Mayi-Mayi and encourage them to participate in the brassage or disarmament, demobilization and reintegration process; support and mentor FARDC, specifically in Kamina."	1
"âThe Security Council expresses its deep concern at the consequences of the refugee crisis caused by the conflict in Syria, which has destabilizing effects throughout the region."	0
"Abdul Kabir, son of Mohammad Jan (TI.A.3.01)"	0
"At the seminar, which took place at United Nations Headquarters in New York, the participating prosecutors were able to analyse the difficulties with which they routinely deal in prosecuting terrorist crimes, and to exchange information on the processes carried out against terrorists in an effective and satisfactory manner, respecting the rule of law and human rights."	1
"Samples collected at the crime scene and further forensic examinations have led to the identification of the Mitsubishi Canter truck."	1
"âThe Council expresses its appreciation to the countries participating in the United Nations Stabilization Mission in Haiti (MINUSTAH) and hopes that the countries that have committed themselves to contributing troops and civilian police will make every effort to expedite the early deployment of their personnel."	0
"As part of the Division's ongoing efforts to recruit qualified experts to serve in groups, teams and panels to monitor the implementation of sanctions, and as is done annually, a note verbale was sent to all Member States in December to request proposals for suitable candidates to serve on the Division's roster of experts."	1
"âThe Security Council reaffirms that terrorism in all its forms and manifestations constitutes one of the most serious threats to peace and security and that all acts of terrorism are criminal and unjustifiable, regardless of their motivation, when they have been committed and who the perpetrators are."	0
"Civil society also has a crucial role to play in that endeavour."	0
"âThe Security Council further reaffirms its determination to combat by all means possible threats to international peace and security caused by acts of terrorism, in accordance with the Charter of the United Nations."	0
"Accountability mechanisms have generally been introduced to address irregularities and ensure that established legislation and procedures are implemented but often do not provide sufficient protection."	1
"Decides that the Mission shall... have the following mandate:... (e) To work closely with the Government... to ensure the implementation of its commitments to address grave violations against children, in particular the completion of the plan of action to release children present in [the armed forces] and to prevent further recruitment, with the support of the monitoring and reporting mechanism."	1
"In its resolution 2122 (2013), the Council committed itself to paying greater attention to women, peace and security issues in all relevant thematic areas of concern, including the protection of civilians in armed conflict, post-conflict peace-building, the promotion and strengthening of the rule of law in the maintenance of international peace and security, peace and security in Africa, threats to international peace and security caused by terrorist acts, and the maintenance of international peace and security."	1
"The Secretariat-General submitted this issue to the Council of Transport Ministers for priority in dealing with Arab transport issues."	0
"I urge the Lebanese leaders to resume and expedite their deliberations on the development of a national defence strategy and to make tangible progress; the end result of that process should be that there are no weapons without the consent of the Government of Lebanon and that there is no authority other than that of that Government."	0
"Moreover, military region 3 of Mijek has largely complied with its obligations in this regard, with the exception of four violations."	1
"I welcome the progress that has been made in clearing mines and explosive remnants of war in Western Sahara."	1
"In close cooperation with the Security Council Committees established pursuant to resolutions 1267 (1999) and 1540 (2004) and in accordance with its mandate, the Committee will pay particular attention to States for which information on the implementation of resolution 1373 (2001) is not available and will consider how best to address this problem."	1
"The Committee stated that in Baram the rebels had killed some soldiers and 13 civilians inside the local hospital."	0
"âThe Security Council calls upon Member States to cooperate without delay to resolve all outstanding issues with regard to the adoption of the draft comprehensive convention on international terrorism."	1
"Africa and Asia and the Pacific accounted for 53 per cent of kidnappings worldwide in 2012, an increase from 18 per cent in 2004; in the Middle East, 19 per cent of kidnappings recorded worldwide in 2012, an increase from 4 per cent in 2008."	0
"Conduct of research to determine the determinants of gender differences in early warning mechanisms and the formulation of relevant indicators."	1
"This came as a result of the priority given by the European Commission to the continuation of structural reform of the police of Bosnia and Herzegovina, in the absence of an agreement on Bosnia and Herzegovina's accession to the European Union."	0
"In most cases, ships -- through monitoring, situational awareness and a strong reaction in line with best management practices for protection against piracy based in Somalia -- managed to prevent attackers'approaches."	1
"The Council should integrate emerging good practices in the fight against violent extremism at the heart of its response to the threat posed by foreign terrorist fighters and encourage resources to be devoted to those efforts."	1
"The provision of sustainable alternatives to ex-combatants is essential to neutralizing armed groups."	1
"During the period under review, attacks by extremist groups in northern Mali and the escalation of violence in north-eastern Nigeria have affected security and stability in the region, with particular concern being the impact of Boko Haram-related violence in southern Niger and in the far north of Cameroon."	0
"Accordingly, at the end of September, the joint implementation mechanism adopted measures to harmonize the implementation of the action plan with the existing elements of the N'Djamena ceasefire agreement of 8 April 2004 in order to reduce the likelihood of such acts being repeated."	0
"Thirty-two sets of remains, presumably of Iraqi soldiers and some of them with identification, were found and will be handed over to the Iraqi authorities once the necessary procedures have been completed."	1
"I also condemn Hizbollah's reckless disregard for the wishes of the elected Government of Lebanon and for the interests of the Lebanese people and the region in general."	0
"Issues related to crimes against humanity were assessed on the basis of definitions established by customary international criminal law and the Rome Statute of the International Criminal Court."	1
"The Council, if it remained committed to interacting and sharing information with Member States in general, as part of its core responsibilities, could aim to improve the already entrenched attitude that was awakening among Member States in general."	1
"2. The situation in Côte d'Ivoire."	0
"At its 4170th meeting, on 13 July, the Council adopted resolution 1307 (2000), which, inter alia, authorized the extension of the mandate of UNMOP to continue monitoring the demilitarization of the peninsula until 15 January 2001."	1
"Many States have taken measures to combat illegal immigration and trafficking in arms and explosives, but more systematic implementation of such measures is needed in almost all regions."	1
"As at 7 April, the UNOCI police component stood at 1,182 personnel, including 434 police officers and 748 personnel from six formed police units, up to an authorized strength of 1,200."	0
"In Central America and the Caribbean, programmes on integration and prevention of terrorism and incitement are implemented within the framework of the San JosÃ© Dialogue process."	1
"The Netherlands has allocated more than EUR 400 million to a four-year action plan (started in 2007) to prevent radicalisation."	1
"In December 2003, the Federal Ministry of the Interior set up a group of projects (on comprehensive prevention strategies)."	0
"The President emphatically described the unfortunate incident as unpleasant and unacceptable, foretelling possible violence during the upcoming 2012 elections."	0
"A Panel of Experts established pursuant to resolution 1929 (2010) acts under the direction of the Committee and assists it in fulfilling its mandate."	1
"The situation in the Middle East (see S/7913, S/7923, S/7976, S/8048, S/8066, S/8015, S/8215, S/8242, S/8252, S/8269, S/8502, S/8525, S/8534, S/8564, S/8575, S/85, S/85, S/85, S/85, S/8015, S/8252, S/8252, S/8269, S/852, S/8525, S/8525, S/8534, S/8564, S/85, S/85, S/8575, S/85, S/85, S/85, S/85, S/85, S/85, S/85, S/85, S/8515, S/8828, S/8836, S/8836, S/88, S/8896, S/8960, S/923, S/9135, S/10554, S/10557, S/10703, S/10723, S/10721, S/10721, S/10722, S/10743, S/10770/Add.4, S/10770/Add.4, S/10855/Add.15, 16, 16, 23, 23, 23, 24, 29, 29, 30, 30, 30, 30, 30, 30, 30, 33, 33, 33, 33, 33, 33, 33, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43 and 43 and 43 and 43 and 43 and 43 and 44 and 44 and 44 and 44 and 44 and 44 and 44 and 44; and 44, 16; and 44; and 44; and 44; and 44; S/10, 16; and 44; and 44; and 44; S/10, 16, 16; S/10, 16; S/10, 16; S/10, 16; S/1055, 16; S/1055, 16; S/1055, 16; S/1055, 16; and 44; and 44; and 44; S/10, 16; S/10, 16; and 44; S/10, 16; and 44; S/10, 16; S/10, 16; S/10, 16; S/10, 16; and 44; and 44; S/10, 16; S/10, 15; S/10, 15; S/1055, 15; S/10, 16; S/10, 16; and 44; S/10, 16; S/10,"	0
"2. Urges all States to cooperate, inter alia, to strengthen the security of their international borders, in particular by combating the use of fraudulent travel documents and, to the extent possible, by applying more effective procedures for the detection of terrorists and security of transport, with a view to preventing persons guilty of the acts referred to in paragraph 1 (a) from entering their territory;"	0
"An important element is the fact that in a number of villages attacked and burned by militiamen and government forces, the aggressors refrained from exterminating all the population that had not fled, but proceeded to selectively kill groups of young men."	0
"At current prices, total income for the entire phase V is estimated at about $3.9 billion, including pipeline fees of $180 million."	0
":: Reflections on when a situation poses a threat to international peace and security that warrants referral to the International Criminal Court;"	1
"In general, charitable donations are an indispensable financial resource, particularly in many developing States and those that have suffered major disasters."	1
"A. Trial proceedings as at 16 May 2013"	0
"Another State noted that the primary responsibility for prevention lay with the national army and its intelligence management and that the presence of refugee camps on its territory represented a special problem."	0
"According to witness statements, and as indicated in the public statements of the Director-General of the Police, the security forces were stationed on the morning of 25 March in several key areas of Abidjan, in particular in Abobo, AdjamÃ©, Yopougon, Anyama and Koumassi."	0
"On 25 July, I informed the Security Council of my decision to appoint Peter van Walsum (Netherlands) as my Personal Envoy for Western Sahara to assist me in assessing the situation and exploring with the parties and neighbouring States and other stakeholders the best way out of the political impasse in which we find ourselves."	1
"\" The Security Council further takes into account the need to continue to discuss with international, regional and subregional organizations and arrangements the possibility of sharing experiences and lessons learned in the areas covered by resolution 1540 (2004), the availability of programmes that could facilitate the implementation of resolution 1540 (2004) and the areas in which they can provide assistance, including through the designation of a focal point or focal point for the implementation of resolution 1540 (2004)."	0
"THE WORLD CLANDESTINE PROGRAMME"	0
"From 3 to 8 July, MINUSTAH organized a training course on âWomen and leadershipâ for potential women candidates in the upcoming elections, and on 25 August, MINUSTAH, in collaboration with a local non-governmental organization, began broadcasting a weekly radio programme aimed at raising awareness among women candidates and voters alike."	1
"The Eritrean envoy in Mogadishu is Elias Haite Talaze."	0
"The Commission noted with particular alarm that attacks on villages, the killing of civilians, rape, looting and forced displacement have continued in the course of its mandate and considers that urgent action is needed to put an end to them."	0
"Here are some examples of this: Medical equipment and supplies"	0
"On 20 July, the Council held an open debate (4174th meeting) to consider its role in the prevention of armed conflict."	1
"141. Faisal Ghali Ashwi Al-Dhafiri"	0
"Further progress has also been made in establishing an intelligence fusion cell within the framework of the tripartite mechanism; on 16 and 17 August, a delegation of the United States of America, accompanied by military officers from Rwanda, Uganda and the Democratic Republic of the Congo, visited Kisangani to assess progress in this regard."	1
"[E]alves parties to armed conflict to take all possible precautions to protect civilians, including children, from the effects of mines and other explosive remnants of war, and in this regard encourages the international community to support the efforts of countries to remove landmines and other explosive remnants of war, and to assist in the care, rehabilitation and economic and social reintegration of victims, including persons with disabilities."	1
"The Mission continued to coordinate support for the implementation of the national strategy on sexual and gender-based violence, under which five programmes are being implemented in the areas of prevention and protection, combating impunity, multisectoral assistance, security sector reform, and data and distribution in Ituri and South Kivu district."	1
"The situation in Chad, the Central African Republic and the subregion (27 August 2007; 4 February 2008)"	0
"Ratified by Morocco on 10 April 2001;"	0
"In addition, MINUSTAH is currently assessing the need for specialized observation aircraft to conduct monitoring and patrolling operations in land border areas and coastal areas, which are generally inaccessible."	1
"In particular, it expresses its deep concern at the use of sexual violence as a weapon of war and calls on all States to end impunity in this area."	0
"(b) In cooperation with the Office of the High Commissioner for Human Rights, to monitor and report on the human rights situation, including the situation of returning refugees and displaced persons."	1
"With regard to the first two points: since the submission of the fourth report of the Czech Republic, much progress has been made in both areas; the amendment of the Anti-Money Laundering Act was adopted on 8 April 2004 and entered into force on 1 September 2004; it sets out the obligation to report suspicious transactions associated not only with money-laundering but also with the financing of terrorism, and more clearly defines the natural and legal persons to which it applies."	1
"76. No exit without a strategy (see S/2000/40/Add.45)."	0
"A description of the status of all cases as at 31 January 2013 is contained in annex I to the present report."	0
"1. Central Tax and Customs Board."	0
"The Executive Committees on Peace and Security and Humanitarian Affairs were established by the Secretary-General to provide senior management with a forum to discuss and formulate strategies to prevent and respond to armed conflict and humanitarian emergencies."	1
"âThe Security Council notes with interest the important proposal of the Secretary-General to establish a peacebuilding commission and shares the objective of enhancing the capacity of the United Nations to coordinate with donors and troop-contributing countries and to carry out peacebuilding activities, particularly since the start of peacekeeping operations through stabilization, reconstruction and development."	1
"Other members noted the initiative of the Government of the Sudan to investigate allegations through its national machinery and called for the resolution of conflicts through negotiations under the auspices of the African Union High-level Implementation Panel on the Sudan, led by the former President of South Africa, Thabo Mbeki, and the Special Envoy of the Secretary-General for the Sudan and South Sudan, Haile Menkerios."	1
"It has been reported that Red Cross vehicles and personnel were seen at the scene and that in some cases they assisted the wounded."	1
"Several regional cooperation mechanisms have been established to enhance the capacity of States to prevent incitement and deny safe haven in the Latin American and Caribbean region."	1
"I also wish you a good year for your countries, for the Governments that have accredited you here in Côte d'Ivoire."	0
"(f) In order to fulfil its mandate, the Committee will be assisted by the Executive Directorate, under the policy guidance of the plenary."	1
"Government interlocutors reaffirmed that the neutralization of armed groups continued to be a high priority and reiterated that operations against the FDA were a top priority; recognizing MONUSCO's support in operations organized against armed groups, the Government stressed the need for more joint combat operations."	0
"Gender mainstreaming in needs assessment and resource allocation in post-conflict reconstruction efforts."	1
"The updated list is transmitted as soon as it is received."	0
"However, there were clear differences between the observations as they were made at the registration sites in or outside camps."	0
"All the remains were transferred to the Hilversum military base, where the identification process is carried out."	1
"All but one State has legislation to regulate non-profit organizations, but only one State has enacted and effectively implements legal provisions to prevent the financing of terrorist activities through such organizations."	1
"Order of Merit Terra Mariana, 1st class with Collar, Republic of Estonia, 2000."	0
"The last complete list (S/2009/10/Add.18) was issued on 11 May 2009."	0
"UNOCI continued to promote gender issues among United Nations military, police and civilian personnel, including through the issuance of weekly gender awareness messages."	1
"The current 180-day phase (stage IX) effectively commenced on 6 December 2000."	0
"They called upon Member States to contribute to the United Nations Consolidated Appeal for Somalia and all parties and armed groups in Somalia to ensure full, safe and unlimited access for the expeditious distribution of humanitarian assistance."	1
"5. Also requests the Secretary-General, in accordance with paragraph 6 of resolution 1980 (2011), to keep the Council informed, by 30 June 2011, in the final report referred to in paragraph 2 of the present resolution and subsequently in his subsequent reports on UNOCI and UNMIL, of developments, measures taken and coordination efforts undertaken between UNOCI and UNMIL to assist the Governments of CÃ´te d'Ivoire and Liberia, respectively, in monitoring their borders and surrounding areas, and in particular how redeployed military personnel and equipment contribute to this, paying particular attention to any movement of combatants or transfer of arms across the border, and in this regard encourages UNOCI and UNMIL, in accordance with their respective mandates, capabilities and areas of deployment, to assist, in collaboration with the Governments of CÃ´te d'Ivoire and Liberia, respectively, in disarming those who endanger national reconciliation and peacebuilding;"	1
":: Publication of the final voter list and development of the new electoral map"	0
"The situation in the Kodori Valley remained the same. On 22 September, UNOMIG and the CIS peacekeeping forces conducted a joint patrol in the Abkhaz-controlled lower Kodori Valley and reported that calm prevailed."	1
":: Develop precise guidelines on what missions can do to protect civilians, including practical protection measures such as the most intensive and systematic patrolling of potentially unstable areas, joint protection teams or early warning cells."	1
"Such interaction allows for preventive measures to be taken within a reasonable time."	0
"Ultimately, an amount of $174,036,520 was awarded to Ethiopia."	0
"Also as part of this summit, the Council will seek to strengthen coordination with other multilateral bodies working in this area, such as the Counter-Terrorism Implementation Task Force and its 31 entities, the United Nations Counter-Terrorism Centre, the United Nations Office on Drugs and Crime and the International Criminal Police Organization (INTERPOL)."	1
"(b) Suppression of heat desorption treatment at high temperature of excavated material; and"	0
"Those born before 25 May 1988 or recruited after 25 May 2006 were to be immediately discharged, as required by the Comprehensive Peace Agreement."	1
"I would like to take this opportunity to announce that my role as Chief Prosecutor of the Ad Hoc Task Force of Inquiry ends on 23 August."	0
"To be held on Tuesday, 19 November 2013, at 10 a.m."	0
"To be held on Wednesday, 26 January 2011, at 10 a.m."	0
"Stressing the need for alleged perpetrators of crimes against children in situations of armed conflict to be brought to justice through national justice systems and, where appropriate, international justice mechanisms and mixed criminal courts and tribunals to end impunity."	0
"The Kuwaiti claimant asserted that on 2 August 1990 he was the sole owner of the entire business and filed a claim for loss of tangible property, inventory and loss of profits."	0
"Some particularly large dhows belong to foreigners and are not registered in Somalia."	0
"Ms. Dana Perkins (United States of America)"	0
"Two helicopter gunships and one Antonov aircraft were used during the attack, possibly for reconnaissance purposes."	0
"A number of serious shortcomings prevent the administration of justice in the Sudan from reacting quickly and adequately to abuses."	0
"Archives management"	0
"The international community must shoulder the responsibility to protect the civilian population of Darfur and put an end to the endemic impunity there."	0
"Such support includes fund-raising and funding; the provision of false, forged or stolen travel and identity documents; and shelter homes."	0
"The Executive Directorate is also leading a three-year global initiative on behalf of the Counter-Terrorism Financing Working Group of the Counter-Terrorism Implementation Task Force, supported by a number of donor States and organizations, aimed at reaching a common understanding of practices that are effective in combating the financing of terrorism within this sector."	1
"âThe Security Council recalls its resolutions and presidential statements on post-conflict peacebuilding, in particular S/PRST/2009/23, S/PRST/2010/20, S/PRST/2011/2 and S/PRST/2011/4, and reaffirms the critical importance of peacebuilding as a foundation for building sustainable post-conflict peace and development."	0
"The Mission has reassessed its operational commitments in the light of the limited reinforcements authorized by the resolution."	0
"At least 70 important members of the People's Congress party are currently in detention without charge or trial, and several have left the Sudan and gone into exile."	0
"(a) Encourage the development of measurable targets to reduce armed violence;"	1
"It also recommends that, of the persons who received weapons from F-FDTL on 24 and 25 May, only those who subsequently used them in criminal activities should be prosecuted."	0
"Arrangements are under consideration for UNDP and UNHCR to establish and manage a successor trust fund for DIS, should the Government and potential donors so wish, until the necessary national structures and capacities are ensured."	1
"It issued letters rogatory and stipulated the measures to be taken, in particular to preserve the place of events."	1
"Much of this increased effort to enable MINUSMA contingents to cope with the threat posed by exposure to mines and improvised explosive devices was funded from the Trust Fund of the African-led International Support Mission in Mali (AFISMA)."	1
"From 24 to 28 October 2011, the KFOR Civil and Military Advisory Division and the Kosovo Security Force jointly completed the harmonization phase of their fourth joint assessment."	1
"In Iraq and Afghanistan, Al-Qaida, the Taliban and associated groups will continue to use military equipment to construct improvised explosive devices for as long as the necessary parts exist and it is possible to acquire them."	0
"(d) With the contribution of the Committee's working group on assistance and its working group on cooperation with international organizations, including the Security Council committees established pursuant to resolutions 1267 (1999) and 1373 (2001), where appropriate, will continue to organize and participate in outreach activities at the international, regional and subregional levels; be prepared to emphasize and engage in assistance programmes; promote the exchange of experiences, lessons learned and effective practices; and be willing to facilitate offers or requests for assistance;"	1
"The second method consists of the study of isotope data."	0
"(c) To liaise with the Government [of the affected country] and the Office of the United Nations High Commissioner for Refugees (UNHCR) to support efforts to relocate refugee camps close to the border, and to provide UNHCR with the logistical support necessary to do so, where possible and on a reimbursable basis;"	1
"The Counter-Terrorism Committee Executive Directorate will continue to strengthen its role in facilitating technical assistance for the implementation of resolution 1373 (2001) in order to enhance the capacity of Member States and regions to combat terrorism by addressing their counter-terrorism needs, in close cooperation with the Counter-Terrorism Implementation Task Force, other United Nations bodies and bilateral and multilateral providers of assistance, and will continue to apply the delimited and regional approach to its work."	1
"They also called on the Forces nouvelles to begin as soon as possible, before 15 October, without preconditions, the demobilization, disarmament and reintegration process agreed upon in Accra, and stressed that all paramilitary and militia groups should also be disarmed."	0
"The Office has already begun to deal with at least seven cases."	1
"The strategic context of UNOWA"	0
"This has led to high tensions with local communities, as well as threats against MONUC by former CNDP military commanders now integrated into FARDC."	0
"\" The Security Council underlines the need for Member States in post-conflict situations, in consultation, inter alia, with civil society, including women's organizations, to address the specific needs and priorities of women and girls in their national strategies to improve their socio-economic conditions, their participation in income-generating activities and their access to education and basic services."	1
"Pursuant to National Assembly resolution 38 of December 2003, a parliamentary committee of some 59 persons was established to consolidate peace, security and development in Darfur states."	1
"It is recommended that the Committee strengthen and, as appropriate, institutionalize its cooperation with international non-proliferation mechanisms, other United Nations bodies, the Group of Eight, regional and subregional organizations and, where appropriate, nuclear-weapon-free zones, which could provide added value in the implementation of resolution 1540 (2004), by expanding formal and informal working relations with those bodies."	1
"By its resolution 2128 (2013), the Council amended the notification requirements related to the arms embargo, decided that the Liberian authorities would bear the primary responsibility for notifying the Committee at least five days in advance of any shipment of supplies of lethal arms and related materiel, and any provision of assistance, advice or training related to military or other security sector activities to the Government of Liberia."	1
"Security Council resolution 1373 (2001), adopted following the heinous attacks of 11 September 2001 in the United States of America, was a milestone in United Nations-level initiatives."	1
"The Mitsubishi Canter van, which was used to carry the bomb, entered Lebanon from Syria along the Bekaa border, using a lane reserved for military circulation, on 21 January 2005, at 1.20 p.m. It was driven by a Syrian colonel from the tenth army division."	0
