"es_en_DEEP"	"MatCoop"
"From a law enforcement perspective, there are complex jurisdictional issues as well as technical challenges related to investigation and prosecution when criminal activity spans multiple States."	0
"However, many have only just begun to develop special counter-terrorism capabilities."	1
"Among them would be the police, gendarmerie, intelligence, security, special services and even, in some States, the military corps."	0
"China Youth Daily, Chinese newspaper, December 19, 2011"	0
"Conducting research to determine the drivers of gender differences in early warning mechanisms and developing corresponding indicators."	1
"10. The situation in Georgia (October 8, 1992; June 15, 2009)."	0
"States should strengthen their legal frameworks to criminalize the illicit manufacture, possession and trafficking of small arms and explosives."	1
"The States of the subregion remain alert to the terrorist threats that loom over them and have invested significant resources in expanding regulatory frameworks, establishing and improving institutions to combat terrorism, and in efforts to increase the capabilities of law enforcement agencies and intelligence services."	1
"i) Contribute to the protection of civilians in danger, particularly refugees and displaced persons;"	1
"Habsade received financial and military support from Atto, Muse Sudi, Sheikh Yusuf Indohaadde and others."	1
"Resolution 1884 (2009) of August 27, 2009"	0
"The West Darfur team consisted of two investigators and a military analyst, and was supported by one or two forensic experts, as needed."	1
"Some of these League recruits from the Maoist army and militia are under 18 years of age."	0
"At least 1,000 kilos of military explosives were used to cause the explosion."	0
"In this resolution, the Security Council also requested that I establish the design of the medal and present to it in due course the modalities for determining how the recipients would be nominated and chosen based on the criteria outlined in the resolution."	1
":: Establishment of media monitoring mechanisms to ensure effective monitoring, documentation and reporting of all incidents, sources and contents of media messages intended to incite hate."	0
"Which will be held on Monday, August 4, 2003, at 12:10"	0
"The Council reiterates the importance of addressing the needs of women in peacebuilding and ensuring their participation in the development and implementation of post-conflict strategies."	0
"This knowledge facilitates the production of the global implementation report, a document that is increasingly detailed and coherent for all regions of the world and, therefore, more useful for practitioners and analysts, both those working for governments and those who don't. It should be noted that improved knowledge also helps the Executive Directorate to determine priorities for its activities at the regional and subregional levels and for the provision of technical assistance."	0
"He added that it would be unrealistic, and even irresponsible, to expect or anticipate a quick departure."	0
"Furthermore, the Small Arms Action Coordination has decided to initiate the development of international standards for small arms control, similar to those developed for mine clearance and disarmament, demobilization and reintegration. ."	1
"e) Allow the establishment of newspapers and other independent media; allow citizens free access to the Internet, social media, international communications, foreign broadcasts and publications, including popular culture from other countries, and end compulsory participation in mass organizations and indoctrination sessions."	1
"Rather than encouraging progress, unrealistic expectations could reinforce a sense of stagnation in society."	0
"S/1994/230, of February 28, 1994"	0
"Adopted statements by the President on children and armed conflict (S/PRST/2002/12), East Timor (S/PRST/2002/13), the elections in Sierra Leone (S/PRST/2002/14), the admission of new members (S/PRST/2002/15), Kosovo (S/PRST/2002/16), the Democratic Republic of the Congo (S/PRST/2002/17) and UNDOF (S/PRST/2002/18 )."	1
"The percentage of minority representatives in the Service is 17% and female representation is 22%."	1
"The sentence is expected to be handed down in December 2010."	0
"1. Ingots or bars having a size of 100 mm or more in each dimension;"	0
"Entities affiliated with Al-Qaida are evolving, often autonomously, with evident changes of a generational, geographic, ethnic, structural and operational nature."	0
"The provisions of the Law also apply to foreigners."	0
"50. Recalls its decision that when the proposing State submits a request for exclusion, the obligation on States to take the measures described in paragraph 1 of the present resolution shall be waived with respect to the person, group, enterprise or entity of which is dealt with after 60 days unless the Committee decides by consensus, before the end of that 60-day period, that the measures remain in force with respect to that person, group, company or entity, it being understood that, in cases where If there is no consensus, the President, at the request of a Member of the Committee, will submit to the Security Council the question of whether the name of that person, group, company or entity should be excluded from the List, for a decision on the matter. a period of 60 days, and it is also understood that, in this case, the obligation for States to adopt the measures described in paragraph 1 of this resolution will continue during that period in relation to the person, group, company or entity of to be dealt with until the Security Council takes a decision on the matter;"	1
"Pacific did not respond to the official Article 15 notification."	0
"Decides to establish an international court with the exclusive purpose of prosecuting those allegedly responsible for serious violations of international humanitarian law committed in the territory of [affected State] between [dates]."	1
"The other two States enacted counter-terrorism laws more than five years ago, but do not report on related investigations or trials."	1
"Council members encouraged the Burundi authorities to continue their efforts to create the necessary conditions for holding inclusive elections through constructive dialogue, an open political space, an end to politically motivated violence and the fight against impunity, in accordance with resolution 2137 (2014)."	1
"Which will be held on Wednesday, October 26, 2011, at 10:00 a.m."	0
"It defined different measures to be adopted and applied by Member States and established the Counter-Terrorism Committee to verify their application."	1
"22. The situation in Guinea-Bissau (November 6, 1998; December 21, 2011)."	0
"The President noted the continuing concern of some countries regarding the extent of the high-risk zone."	0
"The Counter-Terrorism Committee Executive Directorate will continue to strengthen its role in facilitating technical assistance to implement resolution 1373 (2001) to enhance the capacity of Member States and regions to combat terrorism by addressing their counter-terrorism needs. , in close cooperation with the Counter-Terrorism Implementation Task Force, other United Nations bodies and bilateral and multilateral assistance providers, and will continue to apply the targeted and regional approach to its work."	1
"For his part, Prosecutor Serge Brammertz informed the Working Group about the three main trials (Karadžić, Mladić and Hadžić) and the planned timetable."	0
"Increased accountability for human rights violations, including cases of gender-based violence; creation of legal instruments that take gender issues into account. G.5 Formulation and implementation of gender-sensitive victim support programmes, including legal aid and witness protection programmes."	1
"Cash and time deposits and joint account at the end of the period"	0
"7. The situation in Liberia (January 22, 1991; March 16, 2011)."	0
"IV. Restoration of State authority"	0
"I also take this opportunity to highlight my concern about the issues surrounding the federal and gubernatorial elections to be held in Nigeria in February 2015, and the serious risks of violence resulting from attacks by Boko Haram or challenges to the election results."	0
"25. Again invites the Secretary-General to continue to provide relevant information and analysis on the protection of civilians when he considers that such information or analysis may contribute to the resolution of the issues before him, and requests him to continue to include in the reports submit to the Council on matters before it, where appropriate, comments relating to the protection of civilians in armed conflict, and encourages it to continue to consult and take concrete measures to strengthen the capacity of the United Nations in this regard;"	0
"The Commission also received credible evidence that the ranks of the Janjaweed militias included fighters from neighboring countries, mainly Chad and the Libyan Arab Jamahiriya."	1
"Furthermore, in principle, the establishment of a hierarchical relationship between the Office of the Ombudsman and the Secretariat on substantive matters represents a direct and significant interference with the independence of the Office, in theory and in practice."	0
"Furthermore, according to the ICRC, the cases of 3,476 missing persons from Kosovo remain pending, of whom around 600 are ethnic Serbs and Roma."	0
"According to the Mine Action Service, improvised explosive devices are a particularly dangerous weapon system due to their versatility, adaptability and method of use."	1
"The two parties stressed the importance of embarking on this new phase in collaboration with regional and international partners, whom they invited to endorse and support the initiatives undertaken in line with the objectives established by the international community to preserve the territorial integrity and sovereignty of Mali. and strengthen its national unity."	0
"Currently, expenses for goods and services are lower than what would be expected at this time of year."	0
"That a set of customary norms that regulate internal armed conflicts has evolved in this way in the international community is confirmed by several elements."	1
"The Office has already started dealing with at least seven cases."	1
"There have been reports that women and girls continue to be victims of sexual violence in attacks on their villages, for example during the recent Hamada attack on 13 January 2005, in which several women were raped."	0
"4. Provide services to her; either"	0
"23. Decides that all Member States that have:"	0
"Notes that a series of measures are necessary for the international community to share the burden borne by African States hosting refugees and to contribute to their efforts towards the security and civil and humanitarian character of refugee camps and settlements , including in the areas of law enforcement, the disarmament of armed elements, the suppression of arms trafficking in refugee camps and settlements, the separation between refugees and other persons who are not entitled to the international protection that is granted to refugees or do not need international protection for other reasons, and the demobilization and reintegration of ex-combatants."	1
":: The Committee should ensure that measures taken by States to combat terrorism are in line with their obligations under international law, in particular human rights, refugee and humanitarian law. ."	1
"Beginning on February 1, 2005, customs officials in Abidjan were frequently prevented from boarding ships arriving at port for inspection."	0
"Zefirzada, Russian radio and television channel; Fedor Ivanich, journalist, January 23, 2012"	0
"All States in the subregion have launched financial intelligence units, although some are still working to increase their capabilities."	1
"Article 21, paragraph 2, of the annex to Security Council resolution 1757 (2007) states that if the Special Court has not completed its activities at the end of its current mandate, \"the Agreement shall be extended to enable it to complete its work.\" within the period or periods determined by the Secretary-General in consultation with the Government [of Lebanon] and the Security Council.\""	0
"b) Usable in the systems included in article 1.A or 19.A.1."	0
"In November, the All Sources Fusion Unit began construction work to establish a subunit in the new Timbuktu camp."	1
"The issue of the full deployment of the civilian police component of UNOMIG, in accordance with the decision taken by the Security Council, remains unresolved."	1
"However, it is no surprise to anyone that this issue has a history with which we are all well acquainted."	0
"2. India-Pakistan Question (see S/7382)."	0
"Together, we will work to ensure that one day Iraqi forces can assume full responsibility for maintaining security and stability in Iraq."	1
"For example, the sensitive issue of population identification is a long-term process that will continue after the elections, as will the reintegration of ex-combatants, security sector reform, land tenure issues, the promotion of appropriate economic governance, the protection of human rights, recovery from the trauma of the conflict and addressing the root causes of the crisis."	1
"Progress can be hampered if international actors have divergent objectives, parallel initiatives emerge, and countries in the region support non-signatory movements, thereby undermining attempts to persuade movements to join the peace process."	0
"The newly established Mine Action Coordination Center seeks to improve information on and response to mine contamination, increase the safety of United Nations personnel in the field and provide technical and material support to programs of mine-related activities carried out in Western Sahara."	1
"They said they were interahamwes."	0
"In 45 countries in sub-Saharan Africa, UNESCO produced an overview map of existing policies and resources to describe how a culture of peace is fostered."	1
"They called upon Member States to contribute to the United Nations unified call for Somalia and all parties and armed groups in Somalia to ensure full, secure and unlimited access for the prompt delivery of humanitarian assistance."	1
"The United Nations Joint Human Rights Office continues to investigate alleged violations of human rights and international humanitarian law by both armed groups and national security forces."	1
"The execrable terrorist plan was completed on the morning of March 18 with another bomb attack in Aleppo. Takfiri terrorists, and those who back them, support them and openly supply them with money and weapons, continue to carry out terrorist operations as part of the conspiracy directed against the Syrian Arab Republic, its people and its institutions."	0
":: States are encouraged to compare the fingerprints of restricted versions of broadcasts with their police database to check whether they match those in their own system (section VI.C, para. 80)"	1
"A pilot demobilization project is expected to begin in January 2001."	0
"The effective functioning of the Tribunal is an essential requirement to end the climate of impunity that continues to prevail in Darfur."	1
"It is unacceptable and also contravenes the publicly declared ban on landmines by anti-government forces."	0
"All States are parties to the Convention on the Financing of Terrorism, have enacted laws relating to money laundering and combating the financing of terrorism and have established financial intelligence units registered with the Egmont Group."	1
"The Council should integrate emerging good practices in countering violent extremism at the heart of its response to the threat posed by foreign terrorist fighters and encourage the dedication of resources to such efforts."	1
"Good proof of this is the Committee in charge of the implementation of the agreement, which cannot yet establish its headquarters in Bujumbura for this reason."	0
"2. Southern region: 119 air raids were carried out, at speeds of 720 to 780 kilometers per hour and at an altitude of 9,000 to 13,000 meters, as specified below:"	0
"Document: investigation order issued by the first investigative judge of the Beirut Military Court No. 23/2005, dated February 14, 2005."	1
"In the joint statement, the Government committed to lifting access restrictions for all humanitarian work in Darfur and to removing various obstacles that prevented it from being carried out."	1
"Resolution 32/2003, CITMA, Article 32 f"	0
"Within the military, reports and other communications flow up and down the chain of command, as they do in most conventional armed forces."	1
"Mr. AurÃ©lien Llorca, France (armed groups);"	0
"The European Union is deeply concerned about the cycle of vicious violence currently taking place in Israel and the occupied territories."	0
"Now that the logistical and organizational aspects of the search for missing persons have apparently been determined, the goal of finding and identifying the victims and ultimately closing their cases becomes an imperative task."	1
"Also condemning in the strongest terms the incitement to commit acts of terrorism and repudiating attempts to justify or glorify (apology) acts of terrorism that may incite the commission of new acts of terrorism,"	0
"Approximately 15 months after the National Assembly enacted the legislative framework, the parties have not made any progress in establishing the National Human Rights Commission."	0
"Law Enforcement Agencies: Establishment of Counter-Terrorism Units"	1
"In resolution 1425 (2002), it established a Group of Experts on Somalia, which was followed by the Monitoring Group established pursuant to resolution 1519 (2003)."	1
":: Individualize limited and suspicious operations, carried out or to be carried out, as well as the financing sources used by the client for such operations;"	0
"The indication they give to their followers is to attack where they can and when they can."	0
"Although in most cases the PNTL files identify the last known person who indicated with his or her signature that he or she received each of these weapons, the custom of transferring weapons without written orders or chain of custody documentation makes this impossible. determine where the weapons are currently located."	0
"However, tents have proven inadequate for the harsh conditions in eastern Chad, particularly during the rainy season from June to September."	0
"152 dinars per capita x 837 workers x 7 months/17 months = 52,387 Kuwaiti dinars."	0
"11. During the reporting period, Entity Armed Forces conducted normal training activities, in accordance with the military provisions of the Dayton Peace Agreement."	1
"Troops and police forces should be better prepared to carry out protection tasks, in particular to prevent conflict-related sexual violence."	1
"During the period under review, the composition of the joint observation and verification team in Gao was adjusted to include all members of the Coordinator and Platform armed groups, as well as representatives from Algeria, Chad, Mauritania and the Niger . From November 19 to 22, Gao's team carried out a fact-finding mission in Didi, on both banks of the Niger River."	1
"If it added to its responsibilities an entirely new legal area in relation to compensation, the Court would not only have to create new jurisprudence, but also considerably expand its staff and establish new rules and procedures for determining compensation."	1
"All of these conditions generate grievances or encourage exploitation by people of diverse backgrounds, religions and beliefs who are determined to incite the commission of terrorist acts."	0
"During the period of operation of the United Nations Transitional Administration in East Timor (UNTAET) there were great changes."	1
"e) Carry out joint patrols with the anti-riot units of the national police to improve security in the event of civil unrest."	1
"G. Chain of custody management standards and procedures manual"	0
"Keeping in mind that both militias maintain close regional ties, I reiterate my call on the Government of the Syrian Arab Republic to collaborate in the process."	1
"There is no official figure for the number of money remittance and value transfer services."	0
"These include members of the armed forces, the National Security and Intelligence Service, Military Intelligence and the Security Committees in the three states of Darfur, but this list is not exhaustive."	0
"The United Nations Development Group works with the Executive Committees towards the overall goal of peacebuilding and develops policies, guidelines and procedures to enhance the work of the network of United Nations country teams."	1
"220. The Commission recommends that special measures be adopted to ensure the dignity and avoid re-traumatization of victims in judicial and non-judicial processes. SAW. Conclusions and results A. Conclusions"	0
"(July 1, 2010 to June 30, 2011)"	0
"The Security Council notes with interest the important proposal of the Secretary-General to establish a peacebuilding commission and shares the objective of enhancing the capacity of the United Nations to coordinate with donors and troop-contributing countries and to carry out carry out peacebuilding activities, in particular since the beginning of peacekeeping operations through stabilization, reconstruction and development."	1
"Furthermore, after its recovery by Government forces, the city had welcomed more than 11,000 displaced people, who had been assisted as best as possible."	1
"Once the status has been determined, the EU can be expected to take on a more prominent role. This is linked to the areas of police and justice, where a continuing, albeit smaller and more specialised presence will be required; to the work of monitoring and supporting the process of implementing standards, which will progressively merge with established EU processes; and to the concentration on capacity-building work."	1
"c) Prevent the supply, sale and transfer, direct or indirect, to those persons, groups, companies or entities from their territory or by their nationals outside their territory or by means of ships or aircraft of their flag, of weapons and related materials of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment and corresponding spare parts, as well as technical advice, assistance or training related to military activities;"	1
"1.8 Extraterritorial Crimes Act 1976;"	0
"Letter dated 14 October 2005 addressed to the Secretary-General of the United Nations from the Secretary-General and High Representative for the Common Foreign and Security Policy of the European Union In accordance with the provisions of Council resolution 1575 (2004) Security, I attach the third quarterly report on the activities of the European Union military mission in Bosnia and Herzegovina (EUFOR)."	1
":: Expressing the desire to join forces and promote inter-communal harmony among all components of Azawad society;"	1
"5. Declares that terrorist acts, methods and practices are contrary to the purposes and principles of the United Nations and that intentionally financing acts of terrorism, planning them and inciting their commission is also contrary to the purposes and principles of the United Nations;"	1
"The Special Representative of the Secretary-General and Head of UNMISS stated that before the conflict broke out in December 2013, significant progress had been made in child protection, and significant success had been achieved with the South Sudan action plan. South."	1
"10. Further requests the working group established in the preceding paragraph to consider the possibility of establishing an international fund to compensate victims of acts of terrorism and their families, which would be financed by voluntary contributions, which could in turn consist in part of assets confiscated from terrorist organizations, their members and sponsors, and to present their recommendations in this regard;"	1
"He had left Liberia and had been residing in various locations, including Ghana, since mid-2001."	0
"We wish to draw the attention of the international community to the alarming fact that by withdrawing from the aforementioned decision, the Russian Federation no longer considers itself subject to the obligation to prevent the sale and supply to the Abkhazian side of all types of weapons, defense equipment and spare parts, ammunition, armored vehicles and other equipment (para. 3), as well as to prevent the hiring of its own citizens or their recruitment into any armed group in the conflict zone (para. 5 a))."	0
"c) Liaise with the Government [of the affected country] and the Office of the United Nations High Commissioner for Refugees (UNHCR) to support efforts to relocate refugee camps near the border, and provide to UNHCR the necessary logistical support for this, when possible and on a reimbursable basis;"	1
"o) Cooperate closely with relevant bodies established by the United Nations to combat terrorism in providing information on measures taken by Member States in relation to kidnappings and hostage-taking for ransom by Al-Qaida and other persons, groups, companies and entities associated with it, and about trends and developments in that area;"	1
"All States in the subregion have established in their domestic legislation their jurisdiction over the relevant crimes."	1
"It is with even greater concern that I must report today that, despite considerable efforts by UNAMID, the security situation in Darfur has not improved much."	0
"Consequently, the Group also nullifies the deduction of 98 million dollars."	0
"Deploring the fact that the Taliban continues to provide a safe haven for Usama bin Laden and allows him and his associates to run a network of terrorist training camps in Taliban-controlled territory and use Afghanistan as a base to sponsor international terrorist operations,"	0
"In Italy, for example, the Political-Military Unit, established by the Office of the Prime Minister, is composed of high-ranking representatives of all ministries and organizations involved in the fight against terrorism and has broad and detailed functions."	1
"Promoting knowledge and awareness on gender issues at the national and local levels through the network of gender focal points in regional and national offices."	1
"(iii) Increasing the capacity of national authorities in [the affected area], including national police agencies, the judiciary and the prison system, to provide the necessary security to refugees, internally displaced persons, civilians and humanitarian workers, respecting international human rights standards."	1
"Specifically, the action of recruiting people with the objective of committing acts of terrorism is contemplated in Law No. 535/2004 on the prevention of terrorism and the fight against it."	0
"The States visited have operational and policy measures to repress terrorist recruitment."	1
":: The amendment to Decree Law No. 2 of 1989 on savings deposits refers to the abolition of anonymous savings books;"	0
"C. Safety of refugees, internally displaced persons, civilians and humanitarian workers in accordance with international human rights standards"	1
"The active presence of ethnic and community-based militias remains a major source of instability, especially in the western part of the country, where violent inter-ethnic clashes have occurred in recent months."	0
"Insisting that the coordinated and comprehensive return of refugees and displaced persons from across the region remains essential for lasting peace,"	0
"The Special Court for Sierra Leone, the first war crimes court since Nuremberg based in the country where the atrocities were committed, was determined to make public outreach and the spread of justice a priority."	1
"Use of the reserve from January 1 to December 31, 2008"	0
"In an effort to help financial institutions and other parties understand the wide range of methods used by listed individuals and entities to raise and transfer funds, the Team, as a member of the Task Force on Countering Enforcement Terrorism, has commissioned a study of the indicators of terrorist financing based on the activities of people prosecuted and convicted for the commission of terrorist acts."	1
"The Government launched several initiatives to prevent and combat diseases."	1
"Recognizing the important role of regional and subregional mechanisms in preventing and responding to potential situations that may lead to genocide, war crimes and crimes against humanity, especially noting the provisions of article 4(h) of the Constitutive Act of the African Union,"	1
"In the 15 years since the establishment of the peacekeeping operation in the Democratic Republic of the Congo on 30 November 1999, much progress has been made, as Congolese interlocutors themselves acknowledge: the withdrawal of foreign armed forces, the reunification of the country, the establishment of the Transitional Government and two national elections."	1
"The Mission's policy group on sexual exploitation and abuse is completing the development of a UNOCI code of conduct in this regard and participates in the country network addressing these issues."	1
"In compliance with these resolutions, this body must demand that the Government of the United States immediately try Luis Posada Carriles for his terrorist acts or extradite him to the Bolivarian Republic of Venezuela, whose justice has been demanding him for years."	0
"Participants pledged to support the signing of a peace agreement, called for strengthening the capacity of MINUSMA, and committed to intensifying regional security cooperation to combat terrorism."	1
"This in itself presents new difficulties, such as establishing new approaches to curb incitement to terrorism and violent extremism and taking into account the relationship between security and development."	1
":: Yarmouk and Hajr al-Aswad: 40,000 people"	0
"Coordination among United Nations entities in the provision of counter-terrorism assistance is essential to avoid duplication of work, increase effectiveness in the delivery of assistance and ensure a more rational allocation of resources."	1
"President Bashir's June 19, 2004 promise to disarm the Janjaweed was intended to apply only to bandits, not to the People's Defense Forces, the People's Police, or other state-armed tribal members. to fight the rebels."	1
"7) Convention for the Suppression of Unlawful Acts Against the Safety of Civil Aviation, signed in Montreal on September 23, 1971; was ratified on August 10, 1973 and entered into force in the Czechoslovak Socialist Republic on September 9, 1973 and"	1
"When approving a United Nations operation, the Council should take into account the essential contribution of military and civilian police to the stabilization of crisis situations and the maintenance of security."	1
"Conversations between people planning to attend the demonstration and security forces were reported, in some cases face to face."	1
"The framework is based on the premise that the people of Darfur and the parties to the conflict must lead the peace process and its implementation, and the United Nations, the African Union and international partners must play a facilitating role."	1
"Cooperation with Malian forces and Operation Barkhane"	1
"It also supports other activities related to the achievement of the Contact Group's objectives to combat piracy in all its aspects."	1
"It has targeted several locations for military operations, with the aim of taking them from the opposition. These include Baidoa, Marka and Mogadishu."	0
"Demands all parties to end violence, attacks on civilians, peacekeepers and humanitarian personnel and other violations of human rights and international humanitarian law..."	0
"The Expert Group investigated a shipment of 200 stainless steel bellows and concluded that, due to their size and configuration, they were suitable for use in bellows-sealed valves or as fittings or connectors."	0
"However, the Commission found no evidence that these kidnappings were widespread or systematic enough to be considered crimes against humanity."	1
"The state of the Blue Nile remains a matter of concern for us."	0
"If this person is found guilty, they have an obligation to punish him or her and provide effective recourse and reparations to the victims."	1
"Some States need to strengthen their judicial systems further so that counter-terrorism proceedings are carried out in full accordance with the rule of law."	1
"However, the Monitoring Team recommends that the Security Council remind Member States that the sanctions regime obliges them to prevent the Internet from being used, directly or indirectly, from their territory or by their nationals outside its territory to provide, sell or transfer technical information, assistance or training relating to military activities to persons and entities included on the List."	0
"72. The situation in Georgia (October 8, 1992; June 15, 2009)."	0
"In order to achieve lasting regional peace, it is necessary to comprehensively address the issue of negative forces and proceed to disarm them by force."	1
"It should be added that the concept of superior responsibility also applies to internal armed conflicts, as has been authoritatively held by international criminal courts. The legal opinion of the States coincides in this regard."	0
":: Comprehensive Nuclear Test Ban Treaty (CTBT)."	0
"b) In cooperation with the Office of the High Commissioner for Human Rights, monitor and report on the human rights situation, including the situation of returning refugees and displaced persons."	1
"The United Nations stands ready to support national initiatives in this area."	0
"The Commission found that, while all parties involved in the conflict have committed crimes against civilians, the Government of the Sudan and the Janjaweed are responsible for an overwhelming majority of the killings of civilians committed during the Darfur conflict."	0
"At the third tripartite meeting between Angola, the Democratic Republic of the Congo and UNHCR, held in Luanda on 28 and 29 March, it was agreed to establish a working group to deal with the return of some 80,000 Angolan refugees in the Democratic Republic of the Congo."	1
"Bearing in mind the Treaty on European Union and, in particular, Article 15 thereof,"	0
"Any improvement in the regulatory procedure reduces the risks of an unfavorable decision that could complicate implementation."	1
"S/AC.26/2000/R.40"	0
"Both resolutions insist that States have the responsibility to investigate and prosecute those responsible for genocide, crimes against humanity, war crimes or other serious breaches of international humanitarian law."	1
"In this regard, the Security Council emphasizes that it is essential to end impunity in the activities of societies in conflict and post-conflict situations in order to accept the reality of serious past crimes committed under to international law, and to prevent serious crimes from being committed in the future, in accordance with international law."	0
"PNTL files show that the PNTL Commander General signed the delivery of an F2000 automatic machine gun and 2,000 cartridges to the Minister of the Interior."	1
"Constantly striving to build local capacity and achieve savings, MINURSO has proposed that eight international posts and four United Nations Volunteers posts be converted to national posts in the 2008-2009 budget. It has also recommended the establishment of an archives unit consisting of one international and one national General Service staff member."	1
"In December 2007, under the guidance of the Personnel Conduct and Discipline Unit, a comprehensive and mandatory program was completed to train all MINURSO personnel on the standards they must follow, including on the prevention of sexual exploitation, abuse and harassment."	1
"This mechanism will ensure that the listed party does not control the assets of the company and cannot divert income in support of terrorism."	1
"k) In light of past expenditures by the leadership, military and security apparatus, reorganize priorities and dedicate available resources to ensuring that citizens, including those serving in the armed forces, do not go hungry and achieve other minimum essential levels."	1
"While noting that some parties to armed conflict have responded to its call to prepare and implement concrete and time-bound action plans to end the recruitment and use of children in contravention of applicable international law:"	1
"In that decision, although members of the Allied Coalition Forces were expressly excluded from the jurisdiction of the United Nations Compensation Commission, compensation was allowed in respect of prisoner of war claims brought by Coalition forces. Allied for loss or injury resulting from ill-treatment inflicted in violation of international humanitarian law."	1
