"es"	"MatConf"
"Además de otros datos fiables, la Comisión ha registrado los testimonios de varias personas arrestadas en relación con el conflicto en Darfur, que se encuentran actualmente detenidas en Jartúm, quienes hablaron de las torturas y los tratos inhumanos y degradantes a los que se les sometió."	1
"La Comisión recibió información fidedigna de que esas personas habían sido torturadas y sometidas a tratos crueles, inhumanos y degradantes."	1
"6. Garantizar un reparto justo y equilibrado de los recursos nacionales e internacionales para ofrecer a todas las partes del país perspectivas tangibles de bienestar;"	0
"Recordando sus resoluciones sobre el reclutamiento y la utilización de niños y los conflictos armados,"	1
"Según relataron los testigos, los atacantes iban vestidos con los uniformes de color caqui de los soldados del Gobierno y portaban fusiles de asalto Kalashnikov y G-3 y lanzagranadas."	1
"El Comité proporcionó a la Comisión el número de víctimas sufridas y el de armas robadas entre enero de 2003 y noviembre de 2004. Con respecto al ejército, afirmó que habían fallecido 937 soldados, habían resultado heridos 2.264 y habían desaparecido 629, y que habían sido robadas 934 armas. Con respecto a la policía, afirmó que habían fallecido 685 agentes, habían resultado heridos 500 y habían desaparecido 62, y que habían sido robadas 1.247 armas. Con respecto a los servicios de seguridad e inteligencia, afirmó que habían fallecido 64 agentes, había resultado herido 1 y habían desaparecido 26, y que habían sido robadas 91 armas."	1
"En resumen, la Comisión ha recopilado material y testimonios considerables que tienden a confirmar los asesinatos de miles de civiles en ataques contra las aldeas."	1
"El hambre y otras condiciones inhumanas de detención se imponen deliberadamente a los sospechosos para presionarles a confesar y a acusar a otras personas."	1
"Hay que mencionar también la Ley de aplicación de las normas europeas de fronteras de 2004, que es aplicable en este ámbito."	0
"Exhorta a todos los Estados Miembros, en particular a los Estados de la región, a que, actuando a título nacional o por conducto de organizaciones o acuerdos nacionales, y a fin de garantizar la estricta aplicación del embargo de armas establecido en [las disposiciones de la resolución pertinente], inspeccionen en su territorio, incluidos los puertos y aeropuertos, y en alta mar, los buques y las aeronaves con origen o destino en [el Estado afectado], si el Estado en cuestión tiene información que ofrezca motivos razonables para creer que la carga contiene artículos cuyo suministro, venta, transferencia o exportación estén prohibidos en virtud de [el párrafo de la resolución pertinente] ..., incluido el suministro de personal mercenario armado, exhorta a todos los Estados del pabellón de esos buques y aeronaves a cooperar con esas inspecciones, y autoriza a los Estados Miembros a aplicar toda medida acorde con las circunstancias concretas para realizar esas inspecciones"	1
"Hubo acuerdo en que debía reforzarse la MONUC lo antes posible, hasta dotarla de los efectivos establecidos en su mandato, para que pudiera desempeñar eficazmente las tareas que se le habían asignado."	1
"Este ha sido el tercer cohete lanzado desde Gaza hacia Israel desde el verano."	1
"8. La situación en Somalia (17 de marzo de 1992; 15 de mayo de 2012)."	0
"En la lista figuran los nombres de 17 personas que se considera que tienen nacionalidad egipcia. Los resultados de la investigación relativa a esas personas figura en el anexo 1 al presente informe."	0
"En la mayor parte de los casos, las víctimas señalaron a los Janjaweed como responsables de la violencia sexual; sin embargo, en algunos incidentes, los soldados del Gobierno habían actuado con los Janjaweed."	1
"Tanto en Bunia como en Aru, el Grupo observó que los funcionarios efectivamente inspeccionaban los aviones que llegaban y salían, si bien superficialmente."	0
"Los actos cometidos por algunos grupos árabes habían causado el desplazamiento forzado de esos grupos no árabes."	1
"La Convención sobre los Derechos del Niño exige además a los Estados Parte que se comprometan a proteger al niño contra todas las formas de explotación y abuso sexuales."	0
"China debería plantear al Líder Supremo de la República Popular Democrática de Corea y a otras altas autoridades la cuestión de los secuestros e infanticidios de niños con derecho a la nacionalidad china, de la obligación de abortar impuesta a las mujeres repatriadas y de otras violaciones de los derechos humanos de que son víctimas las personas repatriadas de China."	1
"El Consejo observa con preocupación también que, según ha trascendido, los ataques del LRA en la República Centroafricana han tenido lugar en lugares situados fuera de la principal zona de operaciones del Equipo de Tareas Regional de la Unión Africana."	1
"Reserva operacional al 31 de diciembre de 2005"	0
"Que se celebrará el 12 de enero de 2012, a las 10.00 horas"	0
"Para ello será preciso aplicar métodos flexibles y propios de cada lugar que incorporen una extensa serie de técnicas de rehabilitación y que puedan aplicarse a la gran variedad de hábitat, los diversos niveles de contaminación y las distintas condiciones ecológicas."	0
"Mi Gobierno agradece las numerosas muestras de condena e indignación que ha provocado esta atrocidad. Agradecemos en especial la rápida reacción del Consejo de Seguridad a este crimen truculento."	0
"Aunque denuncien incidentes a la policía y a otros funcionarios del Gobierno, apenas se toman medidas o no se toma medida alguna para detener a quienes perpetran tales actos."	1
"En total, se efectuaron 353 cargas por un volumen de 399 millones de barriles, y los ingresos generados ascendieron a 5.056 millones de dólares de los EE.UU."	0
"Durante la Guerra Fría, los secretarios generales de las Naciones Unidas llamaron la atención sobre cuestiones específicas relativas a la delincuencia transfronteriza que complicaban las situaciones de conflicto y que ya figuraban en el orden del día del Consejo de Seguridad."	1
"El informe incluía una sombría descripción de la situación en la región, caracterizada por más actos de violencia y terrorismo."	1
"La MONUSCO ha empezado a planificar y preparar operaciones militares contra las FDLR, teniendo en cuenta que es un grupo disperso que se oculta entre la población local."	1
"Por tanto, el Registro se ha convertido en un instrumento directamente pertinente a la labor del Consejo de Seguridad y de la Asamblea General en relación con las armas pequeñas y las armas ligeras."	0
"Estado financiero III. Estado de la corriente de efectivo en el bienio 2006-2007"	0
":: Las condiciones de la extradición están reglamentadas en los artículos 533 a 540."	0
"La situación en el Chad, la República Centroafricana y la subregión (27 de agosto de 2007; 4 de febrero de 2008)"	0
"Durante el conflicto, los soldados del Gobierno cometieron una matanza en Monoko-Zohi y hace poco se denunció que las fuerzas del Gobierno habían enterrado cuerpos en fosas comunes en Man y Danané."	1
"Para explicar esta falta de pruebas documentales se presentaron declaraciones de dos empleados del KISR."	0
"Puede que haya habido menos operaciones importantes que lo que habrían querido los dirigentes de Al-Qaida, pero la detención o muerte de presuntos terroristas relacionados con Al-Qaida en más de 40 países de distintas partes del mundo desde que el Equipo presentó su último informe en noviembre de 2006 (S/2007/132) son indicativas de un elevado volumen de planificación de actos de terrorismo."	1
"La delincuencia organizada, profundamente arraigada en la vida política y social, junto con el extremismo, ponen en peligro los mismos fundamentos de los principios y valores que estamos tratando de infundir en las nuevas instituciones que se han constituido allí y hacer que nuestros esfuerzos pueden resultar inútiles."	0
"Un Estado señaló que, si bien su constitución garantizaba el derecho a la libertad de expresión, ese derecho podía estar sujeto a restricciones razonables, incluidas las aplicables a manifestaciones verbales que representaran incitación."	1
"Dos oficiales de la FDPU y cuatro miembros del personal de apoyo que se suponía que formaran parte del Centro de Mando Conjunto (CMC) en Kisangani con arreglo a la orden de ejecución, se presentaron tardíamente por razones ajenas a su voluntad o a la de la FDPU."	0
"Presuntamente, el grupo tiene estrechos vínculos con Al-Qaida en la península arábiga y ha proporcionado adiestramiento en Somalia a terroristas procedentes de Nigeria y otros países próximos a sus fronteras."	1
"En las secciones siguientes se describen los hechos constatados por la Comisión con respecto a la serie de ataques contra civiles en los tres estados de Darfur."	1
":: 2 de junio de 2005: el periodista Samir Kassir muere al estallar su automóvil en el este de Beirut."	1
"Un Estado señaló que había establecido un centro para el diálogo interconfesional y había organizado y acogido numerosos actos conexos."	0
"Metodología y plantilla Metodología Las cuatro prioridades estratégicas de la Misión son: consolidar las instituciones y fomentar la capacidad a nivel de dirección; luchar contra la delincuencia organizada y la corrupción; mejorar la viabilidad y sostenibilidad financiera; y promover la independencia y la responsabilidad de la policía."	0
"Estos jefes de los componentes tienen adjuntos (véase el apéndice B)."	0
"b. Poliimidas fluoradas que contengan el 10% en peso o más de flúor combinado;"	0
"Además, hay escuadrones de la muerte y milicias integradas por elementos autónomos que siembran el terror y proceden a ejecuciones y secuestros de personas."	1
"Said Arif está asociado con Al-Qaida o una célula, entidad afiliada, grupo escindido o derivado de ella por \"participar en la financiación, planificación, facilitación, preparación o comisión de actos o actividades ejecutados\" por Jabhet al-Nusra, alias del Frente Al-Nusra para los Pueblos del Levante (QE.A.137.14), \"o realizados en o bajo su nombre, junto con él o en su apoyo\" y \"reclutar para él\"."	1
"La situación en Côte d'Ivoire (véanse S/2002/30/Add.50; S/2003/40/Add.5, 17, 19, 29, 31, 45, 47 y 48; y S/2004/20/Add.5, 8, 17, 21, 31, 44, 46 y 50; S/2005/15/Add.4, 12, 13, 16, 17, 21, 24, 26, 34, 40, 41, 47, 48 y 49; y S/2006/10/Add.2, 3, 5, 7, 12, 16, 20, 21, 28, 31, 36 y 42)"	0
"La Comisión entrevistó a varios testigos que confirmaron que tras los ataques conjuntos de los soldados del Gobierno y las milicias Janjaweed en la zona, se mantuvo detenidas a unas 30.000 personas en Kailek, en Darfur meridional, durante unos 50 días."	1
"La mayoría de esos crímenes se cometieron a título individual en el marco del caos reinante en materia de seguridad."	1
"Se adjunta copia del artículo solicitado."	0
"Código de Procedimiento Penal, Ley 600 de 2000."	0
"Movimiento irregular de armas en las fuerzas de seguridad"	1
"Estas personas fueron identificadas por testigos presenciales como participantes en un ataque contra una aldea en que se produjeron actos de incendio, saqueo, matanzas y, a veces, violaciones."	1
"A. Panorama general Los grupos vinculados con Al-Qaida y los Talibanes incluidos en la Lista siguen recaudando fondos por medios legales, como donaciones y actividades comerciales legítimas, y también ilegalmente mediante los secuestros por los que se exigen rescates, la extorsión, el tráfico de drogas y la imposición de tributos ilegales."	1
"La primera etapa del proceso electoral ha resultado un éxito notable."	0
"Su filosofía de gestión está cambiando y se observa una mayor delegación de autoridad, una mayor transparencia en el proceso de adopción de decisiones y un mayor análisis en la planificación y conducción de las operaciones."	0
"c) Se abonen o transfieran fondos, dentro del territorio de Uzbekistán, por la cuantía que corresponda a la aplicación del tipo de cambio de la moneda de que se trate vigente en la fecha de la operación;"	0
"Durante esos arrestos, las víctimas fueron con frecuencia objeto de malos tratos, se robaron sus pertenencias, se causaron destrozos en sus viviendas y, en algunos casos, fueron ejecutadas sumariamente."	1
"La Misión visitó algunas de esas zonas y quedó consternada ante la visión de casas demolidas, automóviles quemados y personas que habían quedado en la indigencia."	1
"Con el fin de verificar con mayor eficacia la aplicación de las resoluciones 1373 (2001) y 1624 (2005) por los Estados Miembros, la Dirección Ejecutiva seguirá haciendo un balance de la labor que llevan a cabo en relación con la aplicación de las resoluciones, utilizando los instrumentos de evaluación revisados de que dispone el Comité (la sinopsis de la evaluación de la aplicación y el estudio detallado de la aplicación); procurando determinar cuáles son los problemas y las necesidades de todos los Estados Miembros y las regiones; y facilitando la prestación de asistencia técnica específica a ese respecto."	0
"585. Poca duda cabe de que los presuntos crímenes que se han documentado en Darfur cumplen los requisitos del Estatuto de Roma, tal como se definen en el párrafo 1) del artículo 7 y el párrafo 1) y el apartado f) del párrafo 2) del artículo 8."	1
"La reforma del sector de la seguridad sigue siendo uno de los principales retos para la paz y la estabilidad a largo plazo."	0
"64. Desde 1950 y como cuestión de política del Estado, la República Popular Democrática de Corea se viene dedicando sistemáticamente y en gran escala al secuestro, la denegación de repatriación y la subsiguiente desaparición forzada de personas de otros países."	1
"18. El 31 de diciembre 2002, un equipo especial de investigaciones de la MONUC fue a la zona de Beni para investigar denuncias de violaciones graves de los derechos humanos (ejecuciones arbitrarias, violaciones, tortura y desapariciones forzadas) ocurridas en la ciudad de Mambasa y en las aldeas ubicadas en los ejes Mambasa/Mangina y Mambasa/Erengeti."	1
"Asimismo, investigó el transporte por carretera desde esos países hacia el norte de Côte d'Ivoire."	0
"Se estima que la misión de las Naciones Unidas en Nepal será una misión específica de duración limitada."	0
"Israel debe también abstenerse de adoptar medidas unilaterales en Jerusalén que alteren el statu quo o socaven la confianza."	0
"Dijo que el ISIL estaba cometiendo abusos en el Iraq de \"tal escala y gravedad que con toda probabilidad podían calificarse como crímenes internacionales, que podían someterse a la jurisdicción de la Corte Penal Internacional\"."	1
"Debido a una combinación de factores, incluida la discriminación basada en el género en el acceso a los recursos, la educación y el empleo, la mala atención de la salud reproductiva y la exclusión de los procesos de adopción de decisiones, las mujeres refugiadas y desplazadas constituyen uno de los grupos más vulnerables del mundo."	1
"Por otra parte, conforme al Pacto Internacional de Derechos Civiles y Políticos, ni siquiera en situaciones de emergencia pública pueden admitirse excepciones a la prohibición del uso de la tortura."	1
"Entre el 20 de octubre y el 10 de diciembre de 2014, los helicópteros del régimen lanzaron 1.125 bombas de barril, con las que mataron a 603 civiles, entre ellos 129 niños y 112 mujeres."	1
"la Ley No. 23 de 1976"	0
"Entre otras cosas, estas nuevas disposiciones estipulan que:"	0
"Además, los menores no siempre están separados de los adultos, y algunos reclusos permanecen en régimen de prisión preventiva durante largos períodos, que algunas veces se prolongan hasta diez años."	1
"Sus funciones principales consisten en dictámenes, revisiones y difusión e instrucción para el cliente."	0
"1. Carboranos, decarboranos, pentaboranos y derivados de ellos."	0
"El Grupo de Trabajo facilitó y copresidió una conferencia internacional sobre estrategias nacionales y regionales contra el terrorismo, en la que los participantes definieron una serie de principios que los Estados Miembros y las organizaciones regionales debían tener en cuenta cuando formulasen sus respectivas estrategias."	0
"Un posible obstáculo para que la Oficina de la Ombudsman ofrezca garantías procesales eficaces es la posibilidad de que haya consideraciones de confidencialidad que impidan dar a conocer el nombre del Estado proponente al autor de la solicitud y a los Estados interesados en el caso."	1
"Se han detectado casos de blanqueo de dinero y financiación del terrorismo en los que se han utilizado estos nuevos métodos de pago. Sin embargo, los Estados tienen dificultades para promulgar leyes y sistemas reglamentarios que sean acordes a las características de estos métodos de pago, que evolucionan a un ritmo cada vez más rápido."	1
"La Representante Especial describió a grandes rasgos los enfrentamientos que habían estallado el 26 de octubre en Bentiu (estado de Unidad)."	1
"Uso de equipos multifuncionales a nivel nacional en la interacción con las comunidades de refugiados para determinar los problemas relativos a la protección frente a la violencia por motivos de género y los programas en esa esfera; fomento de iniciativas de sensibilización con las que se identifiquen los refugiados; apoyo a proyectos piloto para erradicar la violencia por motivos de género, incluidos proyectos dirigidos a hombres y niños; divulgación y aplicación de directrices acerca de la violencia sexual y por motivos de género contra los refugiados, los repatriados y los desplazados internos."	0
"Al 30 de septiembre de 2014, aún había 37 marinos rehenes de piratas somalíes."	1
"Se trata del derecho de una persona a ser informada de que existen motivos para creer que ha cometido un crimen, el derecho a guardar silencio y el derecho a ser asistida por un abogado defensor."	0
"Por ejemplo, a los Estados de la región del Sáhara les resulta difícil hacer frente al problema de los campamentos de adiestramiento móviles dirigidos por la organización Al-Qaida en el Magreb Islámico (QE.T.14.01.)."	1
"Como los miembros del Consejo saben mejor que nadie, el conflicto árabe-israelí es uno de los desafíos diplomáticos más grandes que haya encarado el mundo desde mediados del siglo XX. Al centro del conflicto israelo-palestino se sitúa una controversia con narrativas históricas, aspiraciones colectivas e identidades opuestas y contradictorias."	0
"Financiación El Consejo de Seguridad expresa su profunda preocupación por el hecho de que los yacimientos petrolíferos y las infraestructuras conexas que controlan el EIIL, el FAN y posiblemente otras personas, grupos, empresas y entidades asociados con Al-Qaida están generando una parte importante de los ingresos de esos grupos, que sirven para apoyar sus actividades de reclutamiento y reforzar su capacidad operacional para organizar y llevar a cabo atentados terroristas."	1
"El Teniente Coronel Falur ordenó a los soldados que respondieran a los disparos."	1
"Las excavaciones se van a llevar a cabo en el segundo semestre de 2013."	0
"En el caso del peligro público (artículo 179 del Código Penal), también constituye un delito la preparación de esos actos (por ejemplo, obtener los componentes y construir un dispositivo explosivo para cometer un ataque de los contemplados en el párrafo 1 del artículo 2 del Convenio), aunque el infractor no haya intentado efectivamente perpetrar el acto todavía."	1
"El uso de la fuerza letal en esas situaciones debe respetar los principios de distinción y proporcionalidad, y los responsables de su violación deben rendir cuentas."	1
"Como se señala en los párrafos 89 a 94 supra, el Ministro del Interior proporcionó armas a civiles, algunos de los cuales intervinieron posteriormente en la presunta comisión de actos delictivos."	1
"5. Otros bienes materiales: 513.403 dólares de los EE.UU."	0
"1. Artículo 8 de la Ley de 2005 sobre las armas de destrucción en masa"	0
"iv) ¿Cuál es el período de validez de las licencias? ¿Se encarga un organismo o departamento concreto de supervisar la validez y/o la expiración de las licencias?"	0
"Expresé la profunda preocupación de este Consejo y del Secretario General por el reciente aumento de las tensiones entre el norte y el sur, así como por el hecho de que siga sin haber progresos sobre Abyei y otras cuestiones posteriores al Acuerdo General de Paz."	0
"Esto constituye un motivo de profunda angustia para Etiopía y su gente."	0
"De los miembros de las milicias Janjaweed identificados como autores por la Comisión, todos son sospechosos de realizar ataques indiscriminados contra la población civil, lo que constituye un crimen de guerra."	1
"Los Estados Miembros presentaron información durante la revisión que conducirá a un total de 465 enmiendas propuestas a la Lista (y cambios en 217 resúmenes descriptivos de los motivos para la inclusión)."	0
"Este caso es un ejemplo no sólo de asesinatos en masa de civiles, sino también de confinamiento ilícito, acompañado de ejecuciones sumarias, violaciones y otros abusos."	1
"Ese grupo está formado por los remanentes del grupo dirigido anteriormente por el “Coronel” David Lusenge."	0
"De acuerdo con las declaraciones de testigos, y como se ha indicado en las declaraciones públicas del Director General de la Policía, las fuerzas de seguridad se encontraban apostadas en la mañana del 25 de marzo en varias zonas clave de Abidján, en particular en Abobo, Adjamé, Yopougon, Anyama y Koumassi."	1
"La composición multinacional del equipo, integrado por nueve naciones, y su misión y organización de tareas se describen en el apéndice 31."	0
"Las operaciones de esos grupos contribuyeron también a los esfuerzos de los talibanes afganos por desestabilizar el país."	1
"En algunas zonas, hay pruebas fehacientes de hostigamiento, y amenazas de los grupos armados de volver a reclutar a los menores liberados; además la falta de seguridad sigue dificultando la reintegración."	1
"Promoción del conocimiento y la concienciación sobre las cuestiones de género en los planos nacional y local por conducto de la red de coordinadores de cuestiones de género en las oficinas regionales y nacionales."	0
"Más tarde los rebeldes capturaron a un comandante de la fuerza aérea, el que permaneció detenido durante aproximadamente tres meses."	1
"Oficina Ejecutiva del Secretario General"	0
"c) Una lista de las personas incluidas en la Lista de cuyo fallecimiento se haya tenido noticia y de las entidades que, según se haya informado o confirmado, hayan dejado de existir, junto con los requisitos de documentación descritos en el párrafo 23 c);"	0
"Presuntamente, su propósito era que las fuerzas del MLC/CCD-N fueran de aldea en aldea destruyendo todo lo que cayera en sus manos."	1
"Después de un largo enfrentamiento con la muchedumbre, el Comandante Adjunto Babo desarmó a seis de los agentes orientales de la UIR y les quitó los chalecos antimetralla. Fueron escoltados hasta los vehículos que los estaban esperando."	1
"Un análisis de las declaraciones de los líderes de Al-Qaida demuestra que sus objetivos inmediatos son, mediante el recurso al terrorismo, conseguir que los países occidentales se retiren del Oriente Medio y de otros Estados islámicos y convencer a los musulmanes de que se quiere atacar a su civilización."	1
"De conformidad con el Decreto Presidencial No. 2004-236, por el que se movilizaba a las fuerzas armadas nacionales, y con las instrucciones recibidas en la reunión celebrada el 24 de marzo por el Presidente, el Primer Ministro, los Ministros de Defensa y Seguridad Interna y los jefes pertinentes de la policía nacional, la gendarmería y las FANCI, las fuerzas de seguridad fueron estacionadas en muchas zonas de la periferia urbana, en particular en las localidades donde se habían previsto concentraciones y manifestaciones."	1
"Además, el Cáucaso incluye Estados sin litoral y productores de petróleo."	0
"Insta además a todos los Estados Miembros a que, en coordinación con las instituciones financieras internacionales y los organismos de las Naciones Unidas, aumenten su apoyo con el fin de paliar las crecientes repercusiones políticas, socioeconómicas y financieras de la crisis de refugiados para los países de acogida."	0
"Con ese dinero, paga mensualmente a los miembros de milicia, a su \"círculo próximo\" (asesores y asociados más íntimos) y a los notables del clan, y compra armas."	1
"En un caso, los Janjaweed secuestraron a un civil después de atacar su aldea y le mantuvieron en cautiverio en uno de sus campamentos para luego trasladarlo a un campamento militar en la zona."	1
"Medidas selectivas y graduales en respuesta al tráfico ilícito de armas pequeñas y armas ligeras"	1
"Un agente de la PNTL fue muerto y otros dos resultaron heridos."	1
"a) Decide autorizar a la [misión de mantenimiento de la paz] a tomar todas las medidas necesarias, en las zonas de despliegue de sus fuerzas y en la medida en que considere que tiene capacidad para ello, con el fin de: ..."	1
"De conformidad con el párrafo 11 de la resolución 1963 (2010), el Comité, con la asistencia de su Dirección Ejecutiva, celebró una sesión especial el 28 de septiembre de 2011 para conmemorar el décimo aniversario de la aprobación de la resolución 1373 (2001) y su propio establecimiento."	0
"Como se esboza en el informe, en el período objeto de examen se registraron progresos importantes en el proceso de paz así como en los preparativos para las elecciones de 2010, a pesar de que persisten algunas dificultades."	0
"\"El Consejo de Seguridad recuerda sus resoluciones relativas a Osama bin Laden y su condena de la red Al-Qaida y otros grupos terroristas asociados por sus múltiples actos terroristas criminales, que persiguen el objetivo de causar la muerte de numerosos civiles inocentes y la destrucción de bienes."	1
